run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
57,FOGAS,8000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.187987576448279,13.57439076108858
58,FOGAS,12000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.239529738363947,15.154230479849502
59,FOGAS,16000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.2551388323147243,18.598091163905337
60,FOGAS,20000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.218112647359839,22.24474880984053
61,FOGAS,4000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.3441301102538157,13.100937637966126
62,FOGAS,8000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.4205660644943667,13.479389243992046
63,FOGAS,12000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.5142102307978407,15.179439813131467
64,FOGAS,16000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.540908952487487,18.608307222137228
65,FOGAS,20000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.5563434438034593,22.202880318975076
66,FOGAS,4000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.6332384355173475,13.170348369982094
67,FOGAS,8000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.5570613579563224,13.413098650984466
68,FOGAS,12000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.558578820765545,15.042380484985188
69,FOGAS,16000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.62061656791918,18.676310348091647
70,FOGAS,20000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.5331762881162954,22.02666174992919
71,FOGAS,4000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),6.81746451494375,13.20300318300724
72,FOGAS,8000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),8.19385475199511,13.49664977286011
73,FOGAS,12000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),9.74074600030741,15.117954631103203
