sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,grid_size,n_states,n_actions,gamma,x0,goal_state,pit_states,terminal_states,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,elapsed_seconds,run_idx
main_ablation,deterministic_10grid,fogas_diag,10000,0.001,0.001,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.86,-0.9774245815993706,-0.983420616886037,0.1949410766017672,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.0725148760878673,-10.178522328390642,1.07542442075058,0.0253650707971054,177.56740352789407,0.3019914756711213,0.4646167956961775,0.0187449235625844,2552.2166262960527,254
main_ablation,deterministic_10grid,fenchel_mirror,10000,0.001,0.05,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.85,-0.9769226206605188,-0.9769601452533888,0.1820874585233863,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1018012933760381,-10.55484966846623,1.3375820461200625,-0.0042547788541589,148.84993459475592,0.0087300237566425,0.1744397962442832,0.001933471640828,1366.986667624209,298
main_ablation,deterministic_10grid,projected_gradient,10000,0.001,0.001,1.0,5.0,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.85,-0.9790029731250346,-0.9751613546099964,0.1670397173918185,1.0,-0.82274123760695,-0.8227412376069501,0.0,-21.309931134284348,-269.8523276872817,34.1398039799824,-21.129400628799573,5006.036573892552,0.4747485036270101,6.9194638731890725,0.01372863343456,1500.44575409987,303
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,0.001,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.85,-0.9850145012372103,-0.9757405573817084,0.1887060387137284,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1219400789964206,-10.89086110944396,1.1339203150165853,-0.0227979131992856,213.14771435618692,0.268965658130932,0.3999065785632423,0.023040420921408,885.7203623950481,354
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,0.3,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.85,-0.990758207251234,-0.9678061009469918,0.2443827679934404,1.0,-0.82274123760695,-0.8227412376069501,0.0,0.5572366332118478,-56.75948862219703,1.0838308038204991,0.8020181802721987,1607.7980118841697,3.129329237888053,2.561770687317087,0.0485699413031737,1538.7200790089555,327
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,1e-05,0.3,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.85,-1.0030407447357264,-1.0174766488457534,0.3020354441377005,1.0,-0.82274123760695,-0.8227412376069501,0.0,11.504683462310592,-263.62650073696585,29.81654606401386,11.729372697174426,2976.1096766184905,2.9542003209059624,3.89926721530386,0.064289740295514,1346.4572671421338,320
main_ablation,deterministic_10grid,fenchel_mirror,10000,0.001,0.2,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.84,-0.9852484370961851,-0.9769637554702324,0.1815128404281044,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.0956835535782423,-10.629244062092392,1.3583196951064307,0.0026296200598603,150.8699425921402,0.0085687507822054,0.176312728119156,0.0043410089225572,1359.0788953339215,302
main_ablation,deterministic_10grid,fenchel_mirror,10000,0.001,0.5,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.84,-0.985507425529944,-0.978532668059449,0.1839940815361024,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.0962062683123159,-10.67133032660833,1.3489716433102643,0.0024469379312143,157.32320244368134,0.0066911081598553,0.1730822075464896,0.0116910459401029,1505.7023841470946,306
main_ablation,deterministic_10grid,fenchel_mirror,10000,0.001,0.1,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.84,-0.9856088339352038,-0.9768336711677048,0.1818613793380639,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.0976066964536703,-10.62174733622403,1.346634329155472,0.000739439435459,150.54368239292052,0.0095528483199294,0.17400640001986,0.0039436231043851,1344.3489797459915,300
main_ablation,deterministic_10grid,fenchel_mirror,10000,0.001,0.03,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.84,-0.9860588747880914,-0.9767042253875954,0.1813931394222205,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.0983587509749184,-10.552703437324798,1.3436364445055706,-0.000430467594864,149.0035255614118,0.0147880074770326,0.1747869235423023,0.0023839005215699,1282.0383363249712,296
