problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,150,1,-0.1484,0.2261523576903166,0.0226152357690316,0.05,-0.0146172873064004,-0.0151704851968336,0.0003826524110452,-0.0148895005786276,8.145427127308048,0.0001163553368989,0.0542618811863159,0.0049828657852414,cpu,ok,,26.66757573798532,26.799073141999543,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,300,2,-0.1058,0.3011331461615803,0.030113314616158,0.09,-0.0291763787873224,-0.0306409468501189,0.0008235003532097,-0.0300146335834597,18.47756298560241,0.0002160729756674,0.065953979879343,0.0049542688413105,cpu,ok,,26.66757573798532,26.888195184990764,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,450,3,9.9999999999964e-05,0.4155159747260329,0.0415515974726032,0.19,-0.0435371363620363,-0.0474813780461916,0.0014626817811609,-0.0447712394940032,30.74489706804424,8.442653332846586e-05,0.1395428516431285,0.0049165158431127,cpu,ok,,26.66757573798532,26.975757625012196,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,600,4,0.2306,0.5304749539494554,0.0530474953949455,0.4,-0.0574267206161639,-0.0662481154957298,0.0025730359664686,-0.0593489624225458,42.43983273572358,0.0006853571988346,0.0925068405229292,0.0048686018663314,cpu,ok,,26.66757573798532,27.056520566984545,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,750,5,0.4193999999999999,0.5411824315722233,0.0541182431572223,0.57,-0.0701221606721197,-0.0888199146286387,0.0048775335493377,-0.0727708372520376,50.87445136352774,0.0004919588299869,0.1894008718167397,0.0047899108611725,cpu,ok,,26.66757573798532,27.130999018030707,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,900,6,0.6406999999999999,0.4625494895716893,0.0462549489571689,0.77,-0.0814675917620422,-0.1176490602639045,0.0085320382433259,-0.0850241829225587,57.803115326464805,0.0010907650588643,0.1972787703742935,0.0046544578422254,cpu,ok,,26.66757573798532,27.198092976992484,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1050,7,0.8078,0.3002341846901609,0.030023418469016,0.92,-0.0917862766327419,-0.1533236380251618,0.0132132857461427,-0.0962741682280328,64.91580067557359,0.0010827360925685,0.2559524936533038,0.004452768919596,cpu,ok,,26.66757573798532,27.25959028903162,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1200,8,0.8697999999999998,0.1908300846620396,0.0190830084662039,0.97,-0.1009580846427372,-0.1987331747187332,0.0190414042843719,-0.1063498690591267,72.98641698625646,0.001082062845873,0.2445677565731049,0.0042193175051373,cpu,ok,,26.66757573798532,27.316817296028603,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1350,9,0.8875,0.1575210423653893,0.0157521042365389,0.98,-0.1083135372969176,-0.2563598308618091,0.0266858692951013,-0.1145477571203375,80.98246790820517,0.001750559332858,0.2638846584735966,0.0039849197978379,cpu,ok,,26.66757573798532,27.371111328015104,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1500,10,0.8892,0.1575871091482325,0.0157587109148232,0.98,-0.1152131160420347,-0.3255517052053039,0.0347861968893122,-0.1222885909585636,87.55443362335606,0.0019206089552623,0.3099224767651241,0.0037467123344902,cpu,ok,,26.66757573798532,27.42481207603123,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1650,11,0.9019,0.1131789947317294,0.0113178994731729,0.99,-0.1200152570371682,-0.4108984552617571,0.0449839499905918,-0.1281169283748149,94.81220726165536,0.0026344661175736,0.3326881186105735,0.003205750451065,cpu,ok,,26.66757573798532,27.476927759998944,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1800,12,0.9134,0.0217988972012787,0.0021798897201278,1.0,-0.1247492933555534,-0.4972967135907003,0.0552497963498299,-0.1337565016504828,103.60923938342457,0.0036408616234979,0.3093485493412025,0.0029222710890875,cpu,ok,,26.66757573798532,27.52868759102421,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1950,13,0.9182,0.016415070680766,0.0016415070680766,1.0,-0.1265436660640076,-0.609765706417993,0.0684552917160973,-0.1363523409768851,112.97536630159182,0.0034774965480711,0.3239059874892304,0.0029046420056662,cpu,ok,,26.66757573798532,27.58301202399889,7
