alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.0001,0.75,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,130.1753256060183,0.92,-0.31049620873478007,2.3790356927967893,0.1935983666629299,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8826548437812978,-5.012140736332732,1.1173437127435726,-1.9017741947155864,109.43905694288169,0.012053502591365863,0.44101409099416056,0.029077771138240893,1572
0.001,0.0001,1.0,3000,0.001,20,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,154.69359961495502,0.92,-0.3127020115402322,2.319701271394532,0.28272256221452213,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9824657847336953,-15.920654096479113,4.017530023846843,-1.9937184462952622,233.37614468679752,0.06101899300561894,0.8818659901311977,0.015520054556114597,700
0.001,0.0001,1.5,3000,0.001,10,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,191.53817880997667,0.92,-0.3160735881007906,2.3757044663464386,0.19168125591433824,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.954473695037905,-4.906707800023733,1.045524878147306,-1.971627701246578,110.83763482381575,0.017051066155958805,0.4323450104592544,0.029798705680836465,2052
0.001,0.0001,1.0,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,110.34567294904264,0.92,-0.31676341926146434,2.2961005032497073,0.20920158121709453,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9197153690544604,-5.0357777868534,1.08028319722212,-1.9381491348769937,112.2967303920536,0.02087705378023628,0.46614198675121044,0.029604196913750318,618
0.001,0.0001,0.75,3000,0.001,20,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,155.03313324297778,0.92,-0.3177912135848179,2.2680866067509844,0.3221644745307433,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.875224470161701,-16.086264559960867,4.12477112467471,-1.8872703297059592,234.82979439655327,0.06934674853322437,0.8939189039367723,0.014964287343626738,1628
0.001,0.0001,1.0,3000,0.001,20,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,203.64216461998876,0.92,-0.3182428454206357,2.2713411656918563,0.327760148877859,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9363360177772018,-15.847496927979071,4.063659715896276,-1.9500240171215897,229.86951765926764,0.07620260582711896,0.9178690571461671,0.014114699213217464,776
0.001,0.0001,0.75,3000,0.001,20,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,113.020858733973,0.92,-0.3193477787540743,2.2890484190632705,0.34980411050394455,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.883641469378511,-16.049659756597,4.116354226968301,-1.8969147040834426,233.42073069466161,0.08472623576079663,0.8797847469772379,0.013377865229297596,1568
0.001,0.0001,0.75,3000,0.001,20,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,134.9150938219973,0.92,-0.3200376185128787,2.2608277084943667,0.31170531440664107,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8813843143715694,-16.321511171636168,4.11861143460363,-1.8939553494506707,235.78799383390998,0.06482841906627937,0.9010019999306614,0.015957561432380217,1586
0.001,0.0001,0.5,3000,0.001,20,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,158.18657306599198,0.92,-0.3202588223297396,2.2285717869430473,0.304127088682818,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.7193773183492178,-16.025822992474804,4.280617921384851,-1.7306082916358647,233.0183894270046,0.07691114578411275,0.8749139392138682,0.01628762775331567,2397
0.001,0.0001,0.75,3000,0.001,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,199.4969507509959,0.92,-0.32654712508438416,2.2582226135206724,0.3528028594313573,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8481853293545347,-16.018665045190193,4.151810229226112,-1.8603660463352414,233.20746812101945,0.05008754701252738,0.8825238296252891,0.016233156282861247,1678
