n_centers,ridge,sigma_mult,base_sigma,sigma,feature_dim,converged,status,error,elapsed_seconds
73,1e-06,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.32864683913066983
73,1e-06,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.32522576907649636
73,1e-06,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.3254097190219909
73,1e-06,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.32618992612697184
73,1e-06,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.3231279749888927
73,1e-06,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.3248639889061451
73,1e-06,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.328064690111205
73,0.0001,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.33031190396286547
73,0.0001,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.32657823502086103
73,0.0001,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.32963772607035935
73,0.0001,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.3253000588156283
73,0.0001,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.3249740400351584
73,0.0001,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.3260192370507866
73,0.0001,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.3232761749532074
73,0.01,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.32392342295497656
73,0.01,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.3327535360585898
73,0.01,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.3245074921287596
73,0.01,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.323576444061473
73,0.01,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.3339339818339795
73,0.01,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.32380688306875527
73,0.01,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.33648075512610376
73,0.1,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.3271941931452602
73,0.1,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.3257182368542999
73,0.1,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.3242303819861263
73,0.1,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.3236102629452944
73,0.1,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.32457316014915705
73,0.1,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.32560929702594876
73,0.1,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.32303826604038477
73,1.0,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.33711276412941515
73,1.0,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.3290061969310045
73,1.0,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.3263253860641271
73,1.0,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.3289132679346949
