run_idx,status,error,elapsed_seconds,device,torch_threads,seed,dataset_size,epsilon,proportions,proportion_key,reset_mode,reset_support_size,extra_terminal_steps,collection_max_steps,intended_prob,fogas_T,fogas_alpha,fogas_eta,fogas_rho,fogas_D_theta,fogas_beta,coverage_beta,feature_coverage,unique_states,unique_state_actions,state_coverage_ratio,state_action_coverage_ratio,goal_transitions,pit_transitions,terminal_transitions,missing_nonwall_nonterminal_states,observed_goal_reachable,observed_goal_shortest_steps,reward_mean,reward_min,reward_max,planner_policy_return,planner_v_x0,planner_success_rate_50,planner_success_rate_100,planner_success_rate_200,planner_avg_return_50,planner_avg_return_100,planner_avg_return_200,greedy_success_rate_50,greedy_success_rate_100,greedy_success_rate_200,greedy_avg_return_50,greedy_policy_return,greedy_v_x0,greedy_v_gap,greedy_on_data_quality,solver_success_rate_50,solver_success_rate_100,solver_success_rate_200,solver_avg_return_50,solver_policy_return,solver_v_x0,solver_v_gap,solver_on_data_quality,final_lambda_norm,final_theta_bar_norm
37,ok,,32.90029056905769,cuda:4,1,42,2000,1.0,100% optimal-eps / 0% random,100_0,x0,1,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,16.83287764068949,32,111,0.32,0.2775,0,68,68,36,False,nan,-0.13567,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.0597299425319988,-0.10741044756453129,-1.074104475645313,0.08267329208362807,0.17938859036027432,0.0,0.0,0.03,-1.0960016829106345,-0.11146198138917769,-1.1146198138917771,0.06195579452220069,0.21784919515365647,0.15398865247936064,340621.4373099048
2778,ok,,40.29209675290622,cuda:1,1,42,4000,0.2,70% optimal-eps / 30% random,70_30,x0_50_occupancy_uniform_50,46,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,2.2049407971925405,49,169,0.49,0.4225,0,56,56,21,False,nan,-0.11022000000000005,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.0600288154429243,-0.10722901428993371,-1.0722901428993374,0.06327558685485038,0.2388868205100221,0.0,0.0,0.03,-1.213635751832327,-0.12049189313982564,-1.2049189313982567,0.14358824444779686,0.3080934938355274,0.13055105424773705,281920.61112755525
74,ok,,36.09187695500441,cuda:1,1,42,8000,0.7,95% optimal-eps / 5% random,95_5,x0,1,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,4.416724075721987,29,94,0.29,0.235,0,52,52,39,False,nan,-0.10569875000000005,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.0631668569169754,-0.10467139947094303,-1.0467139947094306,0.04994630926721652,0.11223356973739433,0.0,0.0,0.03,-1.097782740371194,-0.1139039608259409,-1.1390396082594092,0.09759827963659079,0.19957522002176234,0.16060264764986337,243360.53948536247
1101,ok,,35.07587239588611,cuda:4,1,42,1000,0.05,80% optimal-eps / 20% random,80_20,x0_50_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,2.5101374158311156,39,81,0.39,0.2025,4,4,8,29,False,nan,-0.10022500000000006,-0.345,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.0644164843214317,-0.10759946372768385,-1.0759946372768388,0.022722139214557225,0.23145571208063212,0.0,0.0,0.03,-1.2986294291511158,-0.13728455514513177,-1.372845551451318,0.1522280979714741,0.7067834940048857,0.1421254731167584,296192.5498481258
874,ok,,33.816573549993336,cuda:1,1,42,8000,0.3,60% optimal-eps / 40% random,60_40,x0_80_uniform_20,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,2.367975193212833,65,227,0.65,0.5675,28,121,149,7,False,nan,-0.11462750000000003,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.0826365009622432,-0.11002256247938029,-1.1002256247938031,0.094898993254568,0.38647833232233925,0.0,0.0,0.03,-1.1783568177893953,-0.11900652798313864,-1.1900652798313867,0.16170327993760222,0.40737057545308036,0.13190332196409332,277659.39283244545
2307,ok,,36.08644073503092,cuda:2,1,42,2000,0.7,100% optimal-eps / 0% random,100_0,x0_50_occupancy_50,41,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,4.193084040615746,21,72,0.21,0.18,0,0,0,45,False,nan,-0.10110250000000005,-0.345,-0.10000000000000002,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-1.1114591927702517,-0.11043804523790375,-1.1043804523790377,0.11973801098894207,0.22979236134970948,0.0,0.0,0.03,-1.162947363986696,-0.12175831460830827,-1.217583146083083,0.22731619568934575,0.3481482397315202,0.16534274697251466,216912.1287682119
2721,ok,,42.124907893827185,cuda:0,1,42,1000,0.0,80% optimal-eps / 20% random,80_20,x0_50_occupancy_uniform_50,46,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,3.2928933362588086,33,72,0.33,0.18,0,8,8,35,False,nan,-0.10920000000000005,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-0.9948462247926807,-0.1000802715721338,-1.0008027157213382,0.00042767161956432055,0.1152825357055802,0.0,0.0,0.02,-1.0241024287131053,-0.10122742858704167,-1.012274285870417,0.014792750929802284,0.15215066590570683,0.5010132502610705,234235.1531187232
771,ok,,53.60279427585192,cuda:2,1,42,1000,0.0,80% optimal-eps / 20% random,80_20,x0_80_uniform_20,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,3.2634171686059776,25,53,0.25,0.1325,0,8,8,43,False,nan,-0.11385500000000005,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-0.9958191644471106,-0.10011491669407716,-1.0011491669407717,0.000972860729363526,0.06725260083586794,0.0,0.0,0.02,-1.0110387118429016,-0.10259348717037227,-1.0259348717037229,0.015462141724084435,0.07974458022138406,0.1585343481836907,325722.7068884427
2642,ok,,43.227991584921256,cuda:1,1,42,2000,0.0,95% optimal-eps / 5% random,95_5,x0_50_occupancy_uniform_50,46,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,1.7536244687016966,54,94,0.54,0.235,12,4,16,14,False,nan,-0.10145000000000005,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-0.9962495628195057,-0.1002834337001854,-1.0028343370018542,0.0018455386443048446,0.12951302540863877,0.0,0.0,0.02,-1.0019350542927208,-0.10185710172278087,-1.0185710172278089,0.011756233111096975,0.2183903634235298,0.6811298647829551,238635.88628187004
681,ok,,36.96505655394867,cuda:0,1,42,1000,0.7,100% optimal-eps / 0% random,100_0,x0_80_uniform_20,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,3.7882347038421615,33,97,0.33,0.2425,0,4,4,34,False,nan,-0.10533500000000005,-4.265,0.0,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.0,0.0,0.0,-0.9972499350179401,-0.10030154535821947,-1.003015453582195,0.0031161988809137353,0.0632620384606961,0.0,0.0,0.02,-1.182954620511638,-0.12199518026698135,-1.2199518026698137,0.22333812927674432,0.28863593920928055,0.1731486687594919,218456.53274724982
