run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,device,torch_threads,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm
21,Generalized FOGAS,4000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,801.2916400336106,0.4609045176362161,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.7199059302550685,0.8207624649958509,-1.0358017840796006,0.02,-1.047707393774651,0.6243550954315786,75.19444062397815,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,3.609667428161491,-86.99714559851265,3.3986954293578138,3.8526038099871758,1279.9892395398197,3.6042620577083744,2.911444085564231,0.054289098957272554
22,Generalized FOGAS,8000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,20.53397078184585,0.4534622467078279,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.6779551060659481,0.6681235353582912,-1.051408631669516,0.11,-1.0666101254148312,0.5763810248387862,75.82777263698517,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,2.724380524112819,-91.71367916163841,2.8215027994931443,2.976710493845326,1205.134844411509,2.7945231755120408,2.4993023106427783,0.057265343735056394
23,Generalized FOGAS,12000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,14.153328932008606,0.466162213565153,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.7680994201361472,0.6555311733267889,-1.0767639586315725,0.15,-1.0898650200694036,0.6267558025167548,75.96229931301787,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,4.478327665543134,-97.28448111637763,7.141921641863477,4.723603485186079,1182.7070228795249,3.171812407735831,2.6296791951958376,0.05735679249918175
24,Generalized FOGAS,16000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.720105525743826,0.4671177611630029,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.6616287196313768,0.6183155510676382,-1.0333722596580979,0.1,-1.048783718610654,0.5446031882886815,76.17681191602605,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,2.9384963709081675,-90.91338821171072,2.349444926151163,3.1903280829355776,1205.2890558515344,3.8238250476809084,2.528543779608986,0.0608117735465075
27,Generalized FOGAS,8000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7232813882204403,0.057832166990449456,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.06423893596374194,0.008979433770009327,-0.8627678612691507,0.99,-0.86389901979346,0.012278070040572455,72.50873391001369,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,-0.07937832435735692,39.09097606827022,-0.6629703948923374,0.10105525729705764,1294.3318983755544,2.162271871246714,2.1760089423831883,0.04373086492791995
26,Generalized FOGAS,4000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.73025019797144,0.04817701280893354,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.03677765008007732,0.008205313206311808,-0.8599461381909194,1.0,-0.8602104258566691,0.01137564518325048,72.8777564780321,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,-0.415019364193963,43.050265523844786,-3.001339617220533,-0.23314480702974102,1208.4300767054508,2.323855280007659,2.4024345627271178,0.040168740038696985
28,Generalized FOGAS,12000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7799914848833318,0.05249745466311823,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.058224023933354865,0.00879617713835116,-0.866155737074941,1.0,-0.8650675531720032,0.011697959311343202,73.08053724799538,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,0.2239989585387847,32.995560084716374,-2.876353008672273,0.4124469866897164,1347.4514129638135,2.290594175576917,1.9525146583393183,0.03870788409659113
29,Generalized FOGAS,16000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.750753471705161,0.05388296518900879,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.06660504858450493,0.01500977245993824,-0.8839436028912177,0.96,-0.8796279847317091,0.021364657677779734,73.38599874000647,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,-1.206767248767553,32.150647793561404,-2.5532612964769195,-1.00259453729628,1442.4283083436528,1.9487177964506743,1.8581781928548835,0.05962156603572273
25,Generalized FOGAS,20000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.783005548024825,0.4564955699565025,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.7762978326747244,0.7112340598991477,-1.0773194481963286,0.08,-1.0716427063064893,0.6391340571617266,77.51902156695724,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,2.127907650933061,-98.10990209554105,2.038618145649962,2.3812275663746063,1234.3880653591768,3.3128668605552587,2.7547807173013603,0.06419123192229943
30,Generalized FOGAS,20000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7377031755237975,0.06056443251848826,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.05188395274031412,0.012194838744287456,-0.8793791687426148,0.98,-0.8770351249377909,0.017266263972238745,73.32773424798506,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,-1.3404456518632404,25.5374153149034,-3.340049850202481,-1.1518346439114202,1354.4506250925706,1.686905897235218,1.6308771417925956,0.05041045558777775
31,Generalized FOGAS,4000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.9229657827324562,0.0018957902309667217,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.12966771822536646,0.10400358497204917,-0.9148695512079847,0.95,-0.9153271084226134,0.1099709862678594,72.60367920302087,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,1.9554295225199447,-41.660017663288045,2.588801390029017,2.1462731592853754,1159.649132851951,3.543876323314272,2.4300950253692264,0.04326732608333022
32,Generalized FOGAS,8000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.869629988669877,0.029405450147368076,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.11154874835874147,0.08767121129310519,-0.8991178549650592,0.99,-0.9026011203625728,0.09161902093230309,73.55925634398591,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,1.2836500092112157,-40.60721714448117,-0.18439205846957027,1.477097950611979,1204.9963653459804,1.635030635886481,1.9328294845292016,0.04944867328244806
33,Generalized FOGAS,12000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.8429557418278057,0.027880583385380613,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.17463873600728044,0.1418033468484379,-0.9187253190044877,0.96,-0.9151150508515848,0.1370018108618625,73.29931302001933,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,0.3226098475413388,-24.145645679904522,-0.6444735825035007,0.5050110667269069,1436.7246187426592,2.2787848261521266,2.4454586682979502,0.04259891792906314
