run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,steps,lambda_entropy,eta,lr_value,lr_rho,lr_policy,tau,rollout_length,batch_size,device,torch_threads,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm
140,SBEED,20000,0.3,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82630.81851665293,1.139751630060083,2.0636287837358047,-0.9948462247926807,0.0,-1.0000000000000002,1.2795507706972464,0.8301943364691236,1.2614605818771931,-1.1697724617461638,0.0,-1.2030804241379407,0.9939026304657104,125.63967873802176,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:3,1,-4.9485374334494265,0.13009344424687158,5.078630877696298,1.1880109191995192,0.34763488259702036,0.0010396627677264894
141,SBEED,4000,0.5,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,124274.14623233498,0.845717660048793,1.5943279391931398,-0.9948462247926807,0.0,-1.0000000000000002,0.6691216552045289,0.8847262339432495,1.2430569025256362,-1.1863594625833669,0.0,-1.2180065645009928,0.9927483703953243,122.07351857400499,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:4,1,-4.908085029435308,0.13480829363306873,5.042893323068377,1.2145189607915334,0.357218029874601,0.0017220690168233655
142,SBEED,8000,0.5,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,102278.0180354627,1.0256820318153381,1.5943279391931398,-0.9948462247926807,0.0,-1.0000000000000002,0.6691216552045289,0.8292565283084973,1.1749351099860554,-1.1530197269451674,0.0,-1.2091971868154487,0.8994419390878734,123.51333678403171,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:5,1,-4.9493241009375755,0.12953928761350722,5.078863388551083,1.2017094934277428,0.3525405116950965,0.0014117428962880253
143,SBEED,12000,0.5,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82618.0147804454,1.0158676533478226,1.924306952419973,-0.9948462247926807,0.0,-1.0000000000000002,0.8947874866972463,0.8170418900204391,1.2076829979799706,-1.1763060441886424,0.0,-1.2013173493995846,0.9322046798577861,125.1246830249438,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:6,1,-4.9550987334059,0.12885521240906822,5.083953945814968,1.1991856198724937,0.3515015327884314,0.0012528430444248301
144,SBEED,16000,0.5,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82625.0332752906,1.1027627449155777,2.0636287837358047,-0.9948462247926807,0.0,-1.0000000000000002,1.2795507706972464,0.8376311352859982,1.245522542243596,-1.1632603637343664,0.0,-1.2044530308707249,0.9784510945124165,130.73002111399546,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:7,1,-4.945455981057395,0.13075281856716864,5.076208799624564,1.1964679464285373,0.350275733537661,0.0010838517783097223
145,SBEED,20000,0.5,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82630.81851665293,1.139751630060083,2.0636287837358047,-0.9948462247926807,0.0,-1.0000000000000002,1.2795507706972464,0.8301943364691236,1.2614605818771931,-1.1697724617461638,0.0,-1.2030804241379407,0.9939026304657104,126.45986010704655,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:0,1,-4.9485374334494265,0.13009344424687158,5.078630877696298,1.1880109191995192,0.34763488259702036,0.0010396627677264894
146,SBEED,4000,0.7,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,124274.14623233498,0.845717660048793,1.5943279391931398,-0.9948462247926807,0.0,-1.0000000000000002,0.6691216552045289,0.8847262339432495,1.2430569025256362,-1.1863594625833669,0.0,-1.2180065645009928,0.9927483703953243,121.57373485498829,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:1,1,-4.908085029435308,0.13480829363306873,5.042893323068377,1.2145189607915334,0.357218029874601,0.0017220690168233655
147,SBEED,8000,0.7,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,102278.0180354627,1.0256820318153381,1.5943279391931398,-0.9948462247926807,0.0,-1.0000000000000002,0.6691216552045289,0.8292565283084973,1.1749351099860554,-1.1530197269451674,0.0,-1.2091971868154487,0.8994419390878734,122.31976685696281,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:2,1,-4.9493241009375755,0.12953928761350722,5.078863388551083,1.2017094934277428,0.3525405116950965,0.0014117428962880253
148,SBEED,12000,0.7,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82618.0147804454,1.0158676533478226,1.924306952419973,-0.9948462247926807,0.0,-1.0000000000000002,0.8947874866972463,0.8170418900204391,1.2076829979799706,-1.1763060441886424,0.0,-1.2013173493995846,0.9322046798577861,123.39617303095292,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:3,1,-4.9550987334059,0.12885521240906822,5.083953945814968,1.1991856198724937,0.3515015327884314,0.0012528430444248301
149,SBEED,16000,0.7,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82625.0332752906,1.1027627449155777,2.0636287837358047,-0.9948462247926807,0.0,-1.0000000000000002,1.2795507706972464,0.8376311352859982,1.245522542243596,-1.1632603637343664,0.0,-1.2044530308707249,0.9784510945124165,126.92477787303505,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:4,1,-4.945455981057395,0.13075281856716864,5.076208799624564,1.1964679464285373,0.350275733537661,0.0010838517783097223
151,SBEED,4000,0.0,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.4653047701622461,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338034780473326,0.031888659816487544,-0.8291245711636082,1.0,-0.8448052556203557,0.03359873983680091,101.4320797160035,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:6,1,-3.797659774065464,0.4267765870949209,4.224436361160385,0.6760630299602043,0.3955477109253255,0.01575037596748583
150,SBEED,20000,0.7,0% optimal-eps / 100% random,0_100,custom_x0,3,42,ok,,82630.81851665293,1.139751630060083,2.0636287837358047,-0.9948462247926807,0.0,-1.0000000000000002,1.2795507706972464,0.8301943364691236,1.2614605818771931,-1.1697724617461638,0.0,-1.2030804241379407,0.9939026304657104,127.95619386498583,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:5,1,-4.9485374334494265,0.13009344424687158,5.078630877696298,1.1880109191995192,0.34763488259702036,0.0010396627677264894
152,SBEED,8000,0.0,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.4668400064112963,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338173245211654,0.031887504650645784,-0.8291245711636082,1.0,-0.8448010797835162,0.03359420382788523,104.22470896498999,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:7,1,-3.7975859412114614,0.4267828213450889,4.2243687625565505,0.6760861640692407,0.3955449882173096,0.015750206871432065
153,SBEED,12000,0.0,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.467800385687406,1.9622884434960658e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.043385273138826425,0.03188662373621607,-0.8291245711636082,1.0,-0.8448028814481757,0.03359331351342325,100.54437626100844,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:0,1,-3.797561459875951,0.4267847981422597,4.224346258018211,0.6760938728528636,0.3955440850704431,0.01575015016846241
154,SBEED,16000,0.0,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338147964782946,0.03188039960056932,-0.8291245711636082,1.0,-0.8447978714490743,0.03358381764533808,104.97333750303369,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:1,1,-3.7975492511223106,0.4267857989053505,4.224335050027661,0.67609780020788,0.3955436424030655,0.015750111863849774
155,SBEED,20000,0.0,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.4688506789151103,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04336110708338923,0.03186289518011965,-0.8291245711636082,1.0,-0.8447939136282567,0.033571213558074506,104.81324635300552,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:2,1,-3.797563880568972,0.4268320664545845,4.224395947023557,0.6761055670197531,0.395547613300596,0.015742299955805582
156,SBEED,4000,0.1,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.5557673313208145,1.962247548429143e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.18859009236674146,0.13571941547446714,-0.9096788631429237,0.95,-0.9384980261742114,0.16724946632790996,116.42166922695469,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:3,1,-3.8647566480803226,0.40468414714197815,4.269440795222301,0.6720692665725517,0.36492967142895494,0.011268677495378278
