ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
npg_exact_alpha_fisher,npg,exact,3e-05,4,3e-05,50,1e-10,5,5,5,0,3887.4016131199896,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.037384745131878,-1.037384745131878,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,3e-05,4,0.0001,50,1e-10,5,5,5,0,3819.4230655747,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0306942362860285,-1.0306942362860285,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,0.003,4,0.01,50,1e-10,5,5,5,0,2707.612630428979,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2145927088950952,-1.2145927088950952,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,1e-06,50,1e-10,5,5,5,0,3404.663733295258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0448951154207624,-1.0448951154207624,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,3e-06,50,1e-10,5,5,5,0,4191.644503691187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.039755429508988,-1.039755429508988,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,1e-05,50,1e-10,5,5,5,0,3560.3639069634023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0402618546883173,-1.0402618546883173,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,3e-05,50,1e-10,5,5,5,0,3910.013670636341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0348199971944596,-1.0348199971944596,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,0.0001,50,1e-10,5,5,5,0,3679.314752958203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0467845738435617,-1.0467845738435617,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,0.0003,50,1e-10,5,5,5,0,3887.0696809400806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0342337897031475,-1.0342337897031475,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,0.001,50,1e-10,5,5,5,0,3500.8414484446403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0163422181982207,-1.0163422181982207,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,0.003,50,1e-10,5,5,5,0,3195.280745569803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0241330757940776,-1.0241330757940776,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,1e-05,4,0.01,50,1e-10,5,5,5,0,3176.7086469202304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0409598088238683,-1.0409598088238683,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,3e-05,4,0.0003,50,1e-10,5,5,5,0,4101.696116980398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0292900115961208,-1.0292900115961208,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,3e-05,4,0.003,50,1e-10,5,5,5,0,2902.1407775690313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.011781673943411,-1.011781673943411,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,3e-05,4,0.01,50,1e-10,5,5,5,0,2621.742066895822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.017381441815285,-1.017381441815285,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,0.003,4,1e-06,50,1e-10,5,5,5,0,3962.644483581744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
npg_exact_alpha_fisher,npg,exact,0.003,4,3e-06,50,1e-10,5,5,5,0,3528.05996094686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
