ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,checkpoint_step,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6705504383567054,-1.6898082971397557,0.01442646648860436,0.006451711948728409,0.01264535541950768,-1.5403406870691974,-1.5403406870691974,0.0,0.0,0.0
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6427635214725915,-1.6777245903960831,0.03288634046647069,0.01470721856284612,0.028826148383178395,-1.5403406870691974,-1.6554603669893535,0.16919540103732456,0.07566648363995922,0.14830630793432006
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,1000,5,5,5,0,,0.4,0.376,0.02190890230020664,0.009797958971132711,0.019203999583420114,1.0,1.0,0.0,0.0,0.0,-1.413189639047771,-1.4355985169643533,0.022471922749076625,0.010049749370411856,0.019697508766007236,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,1000,5,5,5,0,,0.4,0.38199999999999995,0.017888543819998333,0.008000000000000007,0.015680000000000013,1.0,1.0,0.0,0.0,0.0,-1.3416774542512824,-1.4185543171492,0.04368971232137887,0.019538633333602656,0.03829572133386121,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,1000,5,5,5,0,,0.46,0.422,0.02489979919597747,0.011135528725660046,0.02182563630229369,1.0,1.0,0.0,0.0,0.0,-1.376685585902547,-1.415760785387907,0.032213626053481874,0.014406371531468749,0.028236488201678747,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,1000,5,5,5,0,,0.44,0.41,0.02121320343559642,0.009486832980505134,0.018594192641790065,1.0,1.0,0.0,0.0,0.0,-1.3666374247428157,-1.398461641307751,0.021960631296745962,0.009821092881666665,0.019249342048066664,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,1000,5,5,5,0,,0.43,0.402,0.02387467277262664,0.010677078252031309,0.020927073373981364,1.0,1.0,0.0,0.0,0.0,-1.3597565432485264,-1.4127067217136313,0.03678744611278105,0.016451846045357765,0.03224561824890122,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,1000,5,5,5,0,,0.41,0.386,0.015165750888103095,0.006782329983125265,0.01329336676692552,1.0,1.0,0.0,0.0,0.0,-1.429679444827013,-1.4483842657590542,0.01869078886086449,0.008358774889197772,0.016383198782827634,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,1500,5,5,5,0,,0.6,0.5780000000000001,0.020493901531919167,0.009165151389911667,0.017963696724226867,1.0,1.0,0.0,0.0,0.0,-1.3384527462277582,-1.3628256748482048,0.020335462966324453,0.009094295509326198,0.017824819198279346,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,1500,5,5,5,0,,0.59,0.58,0.012247448713915856,0.005477225575051646,0.010735362127101225,1.0,1.0,0.0,0.0,0.0,-1.3268777696185918,-1.3703055756615212,0.04016520556683978,0.017962425995541344,0.03520635495126104,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
