alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,1e-06,0.005,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,925.1306839680183,191.3,18.354835875049385,0.2,-191.3,18.354835875049385,200.0,0.0,0.0,-200.0,0.0,-341.1795926244683,-338.2879355344945,-1.0248215018924152,-341.18262106317286,953.0864503969343,0.44292064317955304,22.836654670967132,0.42168497077323847,258
0.0001,1e-06,0.5,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,895.4921977430349,194.0,4.371625682868,0.8,-194.0,4.371625682868,200.0,0.0,0.0,-200.0,0.0,-150.26795474821222,344.3421683763378,-52.4657956548607,-151.00142051132048,445.40080120042654,45.81689359584704,148.1881952469805,10.307759704301215,99
0.0001,1e-06,0.1,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,891.0952044490259,196.5,2.718251071716682,0.7,-196.5,2.718251071716682,200.0,0.0,0.0,-200.0,0.0,-149.84726032965935,172.0874533897853,-49.665868084924625,-150.43356131911028,441.77936445321967,40.832470677497106,164.01412699990465,6.438977550479592,89
0.0001,1e-06,0.05,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,927.3212021840154,196.9,5.216427044549853,0.3,-196.9,5.216427044549853,200.0,0.0,0.0,-200.0,0.0,-152.84545209857362,95.51976851955385,-51.11773211381702,-153.45960106086386,463.6615508276328,33.219373842929414,171.51779291077187,18.764552413590884,79
0.0003,1e-06,0.5,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,742.294653162011,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-340.74581906702906,-337.02904018317497,-0.5927549854650935,-340.74651892986446,859.879260800658,0.19147553516235158,74.81258936134196,0.4153665200343336,300
0.0003,1e-06,0.5,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,877.1707993659656,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-341.2347891312707,-336.5802170121468,-1.0772010968476249,-341.2332540715949,893.7726650198879,1.0943777953884282,50.827121033856784,0.44561497564879804,298
0.0003,1e-06,0.5,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,878.9421223779791,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-341.02149791184587,-337.72562604776397,-0.8656282983301983,-341.0231934966656,930.4193208078269,0.012824241264369578,38.511830091455806,0.413697271923394,299
0.0001,3e-07,0.005,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,886.4524855560157,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-306.4795699113358,-303.2568214301751,-6.242430973831176,-306.4814832295273,800.8502770924038,1.7207524652202455,51.750003891642734,0.4254872462390452,9
0.0002,3e-07,0.005,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,887.4485314509948,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.09714127381484,-97.66255241752447,-0.9433281855695976,-103.09938983945231,283.52673804614477,0.015205508374365254,7.823367673662682,0.41588690633114966,105
0.0002,3e-07,0.05,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,887.6766529579763,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-96.9763084758524,-117.29458950061738,4.973472214459493,-97.59094774755441,260.2147299073247,0.8206729856308924,36.62238248456849,0.6804476043002583,121
0.0001,3e-07,0.1,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,888.4603710979572,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.23083858389047,-99.38890077067829,-1.0751815281320316,-103.23043539251077,351.45139755336265,0.3015768296912392,24.01949503093588,0.4245214323612249,33
0.0003,1e-06,0.5,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,888.9887910999823,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-71.05944724288304,-268.10553478841064,28.06649641203425,-72.82544712334342,528.7920094357892,0.3555602865149833,53.523595588995036,96.65569448602237,296
0.0002,1e-06,0.005,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,889.6094235869823,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-95.23549265948155,-144.236566962973,6.898796453608849,-95.54080994407019,388.99037734880835,2.2295931244810316,32.04436876894451,0.4092848802020227,153
0.0001,1e-06,0.1,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,889.7583714369684,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,21.227675911260036,122.868587880318,-10.02849696396368,20.90130574310875,322.6160566417027,0.07325920533591479,56.19512307999996,0.2757404475827013,81
0.0002,3e-07,0.02,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,889.7676536740037,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-102.63810948808529,-102.69107570036837,-0.48184687339611965,-102.69198756184281,325.8189033893239,0.5825161029520014,32.35026636011035,0.4157254484451553,113
0.0002,1e-06,0.5,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,889.9135538959526,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,95.63037530671802,19.13501321089025,55.7773464874905,95.24368444769594,308.9553174568729,432.49266642603186,275.521602264113,37.45862214012076,193
0.0002,1e-06,0.02,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.0765696860035,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,40.659626534558456,-537.9818901236326,61.55712913093176,37.89923041837392,295.9212925414291,0.15700563548891489,64.8976007032652,0.7956518933526071,161
