alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,feature_type,rbf_bins,rbf_centers,feature_dim,variance_scale,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,param_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,1e-06,0.1,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,754.229496526008,156.68,1.0,-156.68,200.0,0.0,-200.0,-6.629732744329416,-6.630264494710824,8.827537095688796e-05,-6.62974452223979,352.98240301665055,1.0817384279003264e-07,0.08933732286274981,0.01554165128436982,1416
0.0001,3e-07,0.02,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,755.2542245070217,156.78,1.0,-156.78,200.0,0.0,-200.0,-6.629795256876882,-6.629954890717102,2.650220685972159e-05,-6.6297987935828635,352.9826119197021,8.710896730398321e-08,0.0893391060912246,0.015541803632439592,815
0.0001,3e-07,0.1,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,760.1384386259597,156.78,1.0,-156.78,200.0,0.0,-200.0,-6.629795261632737,-6.62995486812995,2.6497556270729373e-05,-6.6297987975987835,352.9826119495012,8.716109160512346e-08,0.08933910626534536,0.015541803643531183,840
0.0001,3e-07,0.5,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,761.307799475966,156.78,1.0,-156.78,200.0,0.0,-200.0,-6.629795285198608,-6.629954755085612,2.6474321548771968e-05,-6.629798817468257,352.9826120431762,8.714526632181483e-08,0.08933910719439293,0.015541803698947173,864
0.0001,3e-07,0.005,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,761.6351864599856,156.78,1.0,-156.78,200.0,0.0,-200.0,-6.629795255993839,-6.629954894961649,2.6503078979135234e-05,-6.629798792838584,352.9826119166142,8.711172388381655e-08,0.08933910605588533,0.015541803630359594,792
0.0003,1e-07,0.005,20000,0.0003,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,754.909046834975,156.84,0.98,-156.84,200.0,0.0,-200.0,-2.045794099654012,-2.0458033702655256,1.902851356027038e-06,-2.0457948071356475,227.89085313635584,8.86456291513479e-09,0.03939345603820638,0.019018602847200007,1161
0.0003,1e-07,0.02,20000,0.0003,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,755.0325249780435,156.84,0.98,-156.84,200.0,0.0,-200.0,-2.0457940996759185,-2.0458033701823988,1.90282952860057e-06,-2.0457948071477725,227.89082749940286,8.864405740146372e-09,0.039393443687954846,0.019018602833569584,1185
0.0003,1e-07,0.1,20000,0.0003,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,755.1134180109948,156.84,0.98,-156.84,200.0,0.0,-200.0,-2.045794099792769,-2.045803369739101,1.9027131219905212e-06,-2.045794807212457,227.8906907797374,8.863567586795582e-09,0.03939337783414536,0.019018602761986792,1209
0.0003,1e-07,0.5,20000,0.0003,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,757.1854885770008,156.84,0.98,-156.84,200.0,0.0,-200.0,-2.0457941003768534,-2.0458033675231744,1.9021312389708766e-06,-2.045794807535796,227.89000742007312,8.859378221876459e-09,0.03939304876791437,0.019018602394121887,1233
0.0001,3e-07,0.005,20000,0.0001,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,752.7657112890156,156.88,1.0,-156.88,200.0,0.0,-200.0,-0.6819299588150737,-0.6819356644257244,2.039163673261201e-06,-0.6819317094079229,79.6795038741049,2.74445009785872e-08,0.021405548040662317,0.019019483061496433,769
0.0001,3e-07,0.02,20000,0.0001,10,1e-12,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,753.5540919589694,156.88,1.0,-156.88,200.0,0.0,-200.0,-0.6819299588898762,-0.6819356643001497,2.039089046967017e-06,-0.6819317094047177,79.67931534249746,2.7442828950326568e-08,0.021405486010437253,0.019019482979472056,793
0.0001,3e-07,0.005,20000,0.0001,10,1e-11,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,754.1765872969991,156.88,1.0,-156.88,200.0,0.0,-200.0,-0.6819299558516573,-0.6819356636547332,2.040304669179788e-06,-0.6819317080433464,79.63086902291253,2.739068963674255e-08,0.021393926053899802,0.01901949293439973,770
