alpha,eta,rho,D_theta,T,beta,seed,device,status,error,elapsed_seconds,greedy_avg_reward,greedy_goal_count,greedy_success_rate,reached_goal,final_state,path_length,run_idx
0.001,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,12.058563836151734,-0.9202335569231277,10,1.0,True,99,24,359
0.001,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.937239059014246,-0.9202335569231277,10,1.0,True,99,24,360
0.002,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,12.062585226027295,-0.9202335569231277,10,1.0,True,99,24,368
0.002,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.911759053124115,-0.9202335569231277,10,1.0,True,99,24,376
0.002,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.970550680998713,-0.9202335569231277,10,1.0,True,99,24,384
0.002,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.876482675084844,-0.9202335569231277,10,1.0,True,99,24,391
0.002,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,12.025833667023107,-0.9202335569231277,10,1.0,True,99,24,392
0.002,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.923439387930557,-0.9202335569231277,10,1.0,True,99,24,399
0.002,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.905809129122645,-0.9202335569231277,10,1.0,True,99,24,400
0.002,0.0002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.957703334046528,-0.9202335569231277,10,1.0,True,99,24,407
0.002,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.935512352036312,-0.9202335569231277,10,1.0,True,99,24,408
0.002,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.920990707818419,-0.9202335569231277,10,1.0,True,99,24,415
0.002,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,12.030580659862608,-0.9202335569231277,10,1.0,True,99,24,416
0.002,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.931861181044951,-0.9202335569231277,10,1.0,True,99,24,423
0.002,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,11.925416102167219,-0.9202335569231277,10,1.0,True,99,24,424
0.002,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,11.890559388091788,-0.9202335569231277,10,1.0,True,99,24,431
0.002,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,11.940253511071205,-0.9202335569231277,10,1.0,True,99,24,432
0.002,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,12.00651039998047,-0.9202335569231277,10,1.0,True,99,24,439
0.002,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.91708993515931,-0.9202335569231277,10,1.0,True,99,24,440
0.002,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,11.931727478047833,-0.9202335569231277,10,1.0,True,99,24,447
0.002,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.992620422039181,-0.9202335569231277,10,1.0,True,99,24,448
0.002,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,11.924852941883728,-0.9202335569231277,10,1.0,True,99,24,455
0.002,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.961441269842908,-0.9202335569231277,10,1.0,True,99,24,456
0.002,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,12.172775340033695,-0.9202335569231277,10,1.0,True,99,24,463
0.002,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.93911070912145,-0.9202335569231277,10,1.0,True,99,24,464
0.002,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.942477511940524,-0.9202335569231277,10,1.0,True,99,24,471
0.002,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,12.051380760967731,-0.9202335569231277,10,1.0,True,99,24,472
0.002,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.949496975867078,-0.9202335569231277,10,1.0,True,99,24,479
0.002,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.946424620924518,-0.9202335569231277,10,1.0,True,99,24,480
0.003,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.88748879218474,-0.9202335569231277,10,1.0,True,99,24,488
0.003,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,12.265037760138512,-0.9202335569231277,10,1.0,True,99,24,496
0.003,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.871046273969114,-0.9202335569231277,10,1.0,True,99,24,504
0.003,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.829822295112535,-0.9202335569231277,10,1.0,True,99,24,511
0.003,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.88213939894922,-0.9202335569231277,10,1.0,True,99,24,512
0.003,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.828101366991177,-0.9202335569231277,10,1.0,True,99,24,519
0.003,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.94922929792665,-0.9202335569231277,10,1.0,True,99,24,520
0.003,0.0002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.84243336180225,-0.9202335569231277,10,1.0,True,99,24,527
0.003,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.896225020987913,-0.9202335569231277,10,1.0,True,99,24,528
0.003,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.829556666081771,-0.9202335569231277,10,1.0,True,99,24,535
0.003,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.849871813086793,-0.9202335569231277,10,1.0,True,99,24,536
0.003,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.970340016996488,-0.9202335569231277,10,1.0,True,99,24,543
0.003,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,11.82861496298574,-0.9202335569231277,10,1.0,True,99,24,544
0.003,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,11.842399302870035,-0.9202335569231277,10,1.0,True,99,24,551
0.003,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,11.842787420144305,-0.9202335569231277,10,1.0,True,99,24,552
0.003,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.845731524983421,-0.9202335569231277,10,1.0,True,99,24,559
0.003,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.82665321789682,-0.9202335569231277,10,1.0,True,99,24,560
0.003,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,12.022975645028055,-0.9202335569231277,10,1.0,True,99,24,567
0.003,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,12.159797059139237,-0.9202335569231277,10,1.0,True,99,24,568
0.003,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,11.85888090915978,-0.9202335569231277,10,1.0,True,99,24,575
0.003,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.812935487832874,-0.9202335569231277,10,1.0,True,99,24,576
0.003,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.867288733134046,-0.9202335569231277,10,1.0,True,99,24,583
0.003,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.819995211903006,-0.9202335569231277,10,1.0,True,99,24,584
0.003,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.986727165058255,-0.9202335569231277,10,1.0,True,99,24,591
0.003,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.870468797162175,-0.9202335569231277,10,1.0,True,99,24,592
0.003,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.816325981868431,-0.9202335569231277,10,1.0,True,99,24,599
0.003,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.9332231329754,-0.9202335569231277,10,1.0,True,99,24,600
0.005,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.78397034900263,-0.9202335569231277,10,1.0,True,99,24,608
0.005,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.816657497081906,-0.9202335569231277,10,1.0,True,99,24,616
0.005,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,12.067768743960187,-0.9202335569231277,10,1.0,True,99,24,624
0.005,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.850312686990947,-0.9202335569231277,10,1.0,True,99,24,631
0.005,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.838187003973871,-0.9202335569231277,10,1.0,True,99,24,632
0.005,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.881193390116096,-0.9202335569231277,10,1.0,True,99,24,639
0.005,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.767361292848364,-0.9202335569231277,10,1.0,True,99,24,640
0.005,0.0002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.898594178026542,-0.9202335569231277,10,1.0,True,99,24,647
0.005,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.866704893996939,-0.9202335569231277,10,1.0,True,99,24,648
0.005,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.864758229115978,-0.9202335569231277,10,1.0,True,99,24,655
0.005,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.868417400168255,-0.9202335569231277,10,1.0,True,99,24,656
0.005,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.896338575985283,-0.9202335569231277,10,1.0,True,99,24,663
0.005,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,11.821756105171517,-0.9202335569231277,10,1.0,True,99,24,664
0.005,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,11.955466591985896,-0.9202335569231277,10,1.0,True,99,24,671
0.005,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,11.822865955997258,-0.9202335569231277,10,1.0,True,99,24,672
0.005,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.874942588154227,-0.9202335569231277,10,1.0,True,99,24,679
0.005,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.848644888959825,-0.9202335569231277,10,1.0,True,99,24,680
0.005,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,11.82526374515146,-0.9202335569231277,10,1.0,True,99,24,687
0.005,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.837384236045182,-0.9202335569231277,10,1.0,True,99,24,688
0.005,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,11.981431331019849,-0.9202335569231277,10,1.0,True,99,24,695
0.005,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.800887250108644,-0.9202335569231277,10,1.0,True,99,24,696
0.005,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.899484877940267,-0.9202335569231277,10,1.0,True,99,24,703
0.005,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.99805135698989,-0.9202335569231277,10,1.0,True,99,24,704
0.005,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.888308127876371,-0.9202335569231277,10,1.0,True,99,24,711
