ok,run_id,seed,seconds,episodes_completed,stopped_early,stop_reason,episodes,collect_per_episode,updates_per_episode,initial_collect_steps,max_buffer_size,rollout_length,lambda_entropy,eta,lr_value,lr_rho,lr_policy,fisher_damping,batch_size,epsilon,eval_return_mean,eval_return_std,eval_return_median,eval_return_min,eval_return_max,eval_length_mean,eval_done_rate,eval_success_rate,score,mean_best_prob,min_best_prob,mean_entropy,best_actions,best_probs,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm,tail_objective_mean,tail_objective_std,tail_primal_mse_mean,tail_primal_mse_std,tail_dual_mse_mean,tail_dual_mse_std,tail_policy_grad_mean
True,9,51,180.33582258224487,500,False,,500,20,10,1024,12000,2,0.05,0.2,0.003,0.003,0.003,0.001,1024,0.2,-0.2579250182502453,0.2453118045172226,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.923333333333334,1.0,0.9333333333333333,-0.3192816398136636,0.5456625654836357,0.25,0.9752181915941571,"[1, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.2914770925765443, 0.26885455330625935, 0.3492689737596942, 0.3471615537686186, 0.43650892591127644, 0.3573422838059048, 0.25, 0.25, 0.43559275830663025, 0.7519587517419732, 0.37565625412219544, 0.46948219400910324, 0.25, 0.9661116219551468, 0.951108274744837, 0.4040360158825666, 0.6404965646875763, 0.9784601930551613, 0.25, 0.9992920363476631, 0.6032839899120397, 0.8676224698879392, 0.9230420479532524, 0.9748075813565105, 0.25]",0.011381612453324202,0.013286506214828296,0.009524468807520468,0.005937035263097697,0.003418837977720038,0.009258226665551192,0.011029236973112845,0.00022580466936057388,0.01281761850370862,0.0003047103586987667,0.00894190765297886,0.0003957120560284221,0.007786607120337892
True,16,58,92.77941417694092,500,False,,500,20,10,1024,12000,1,0.01,0.1,0.01,0.03,0.01,0.0001,512,0.3,-0.22406375960066563,0.22600309001409993,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.76,1.0,0.9533333333333334,-0.2806746850584072,0.7973035349671407,0.25,0.3874058481250275,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.7851317266596295, 0.9993639045364976, 0.9996666084510227, 0.5814303321889167, 0.9999568679203105, 0.999176634328194, 0.25, 0.25, 0.9997627739700805, 0.9999976429572724, 0.6752229307046126, 0.9998062427503543, 0.25, 1.0, 0.9999990854648603, 0.7335398781504302, 0.9096246774352538, 1.0, 0.25, 1.0, 0.9999288335345432, 0.9999811735897576, 0.9999990615367836, 1.0, 0.25]",0.018795464473605923,0.020061906477805494,0.012664420041995722,0.019000926444404296,0.007156855123163261,0.014943078335092189,0.01878866798121277,5.514528865609286e-05,0.020048221193471653,6.372798877782097e-05,0.012595532122588843,0.00012368424574821945,0.012657342929907391
True,17,59,91.75241494178772,500,False,,500,20,10,1024,12000,1,0.08,0.1,0.003,0.01,0.01,0.01,256,0.15,-0.9999734386011134,2.224156070299059e-16,-0.9999734386011132,-0.9999734386011132,-0.9999734386011132,100.0,0.0,0.0,-1.0000407455961726,0.3985877300612161,0.25,1.1984831993481546,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 1, 0, 1, 2, 0, 1, 3, 3, 3, 3, 0]","[0.2519811909517261, 0.25559578266754746, 0.2679539181451741, 0.29426886926312523, 0.2533598786574524, 0.2581573668126509, 0.25, 0.25, 0.34632711928884846, 0.3058134184219954, 0.2758008243744736, 0.2750377155710418, 0.25, 0.8278872101303445, 0.6962754331923088, 0.2736159636900401, 0.31487153324269795, 0.6072578801095654, 0.25, 0.8986559195925359, 0.26224998355399676, 0.36100343737056106, 0.7263899994663969, 0.9621898070279195, 0.25]",0.0025165391753042992,0.0026587205344850815,0.0014218135918078237,0.007804783605265501,0.0013848128066445782,0.003554527219363676,0.0025471901260434014,1.8877577006136307e-05,0.0026910891831799827,1.9604841642241822e-05,0.0014389905713658186,1.226084912830604e-05,0.004638643535200829
True,3,45,186.6900441646576,500,False,,500,20,10,1024,12000,3,0.05,0.1,0.01,0.01,0.003,0.01,512,0.3,-0.2620868447265178,0.22995255583516608,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.473333333333333,1.0,0.9633333333333334,-0.3196149126687319,0.38495013432455716,0.25,1.237730741186854,"[1, 2, 2, 2, 2, 1, 0, 0, 0, 1, 1, 2, 0, 3, 1, 1, 1, 2, 0, 1, 3, 3, 3, 3, 0]","[0.2569142222927378, 0.26117633674057583, 0.27022713902971407, 0.3044687146073951, 0.25816726970582965, 0.2571145361942904, 0.25, 0.25, 0.4342503907421202, 0.29209296997176276, 0.2685802955802579, 0.2674429327364696, 0.25, 0.4176399787094189, 0.5378507340228829, 0.28881275258818173, 0.4429241496313095, 0.6632753434576458, 0.25, 0.7607989968666699, 0.3128764155353194, 0.41675375487743194, 0.7362792312609439, 0.926107193562971, 0.25]",0.0062080990657974065,0.006442104495276052,0.0023400542947864507,0.008395503604366378,0.004236462716309332,0.006434846443903732,0.0062673521718325095,4.3145461530884976e-05,0.006497353726346582,4.3295362753478675e-05,0.0023000155451407154,1.8956585216878632e-05,0.007813972969134317
True,8,50,188.96275520324707,500,False,,500,20,10,1024,12000,3,0.05,0.1,0.01,0.01,0.003,0.001,512,0.3,-0.248399348796775,0.27165266591190773,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.413333333333334,1.0,0.9066666666666666,-0.31636831036912055,0.5698591557300001,0.25,0.9647461464730313,"[1, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 3, 3, 1, 0, 1, 3, 3, 3, 3, 0]","[0.3265512605420567, 0.32769187546538897, 0.444831816258201, 0.3742792879506424, 0.6053781003547997, 0.4290038665367881, 0.25, 0.25, 0.6604347398282902, 0.8412042763906302, 0.37610507912444463, 0.586182817671265, 0.25, 0.9361232258637554, 0.840638452457213, 0.44389442556571246, 0.6055114531590706, 0.9235573470920908, 0.25, 0.9846961494152332, 0.5990135500555271, 0.8057622409397932, 0.8902250762610984, 0.9953938523180039, 0.25]",0.019429727480404856,0.020762742888221834,0.01333015407816978,0.015163197952614555,0.006979826755018386,0.01238130432420347,0.01937522517406761,0.00012522778744839295,0.02071989024096535,0.00014903085752080214,0.01344665066897741,0.00028859083897489875,0.014138308731606106
True,12,54,193.50360894203186,500,False,,500,20,10,1024,12000,3,0.05,0.05,0.01,0.01,0.001,0.01,512,0.3,-0.9827343134766496,0.0797965152906473,-0.9999734386011132,-1.0000000000000007,-0.13906557999999997,91.55333333333333,0.16666666666666666,0.16333333333333333,-1.0027332840409375,0.3050565061967257,0.25,1.3438411468516522,"[3, 3, 2, 2, 1, 0, 0, 0, 3, 1, 0, 2, 0, 3, 1, 0, 2, 2, 0, 1, 0, 2, 1, 3, 0]","[0.257370691148587, 0.25224396158435525, 0.2535879439800625, 0.2586763943167674, 0.25521390628779994, 0.2631078211854126, 0.25, 0.25, 0.3192084087933156, 0.3196313920263225, 0.2702342792151998, 0.2756230176058127, 0.25, 0.3741445926452532, 0.42995615578355634, 0.26771093563289683, 0.3189203320030841, 0.4393999566511477, 0.25, 0.6782250796664829, 0.2629072622932688, 0.275293884670305, 0.2928895350189974, 0.31206710440951524, 0.25]",0.008262422551805013,0.008457968626421574,0.003910921492331214,0.01330575506218962,0.005495128430406356,0.008172501925599441,0.008275760112287669,3.8932452698391725e-05,0.008468085719202916,3.978274471161704e-05,0.0038465121383049667,4.3103094521085285e-05,0.010533093187565568
True,2,44,198.26418828964233,500,False,,500,20,10,1024,12000,3,0.05,0.05,0.01,0.01,0.001,0.01,1024,0.3,-0.26445765020220324,0.25190423170011006,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.006666666666666,1.0,0.9266666666666666,-0.3274732719121377,0.33401317357493937,0.25,1.3099815071838719,"[3, 3, 3, 3, 1, 0, 0, 0, 3, 1, 0, 2, 0, 3, 1, 0, 2, 2, 0, 1, 0, 2, 2, 2, 0]","[0.26128633121890404, 0.2577232839995269, 0.25352757353670863, 0.2747113246350541, 0.29036609960013504, 0.2737853457260342, 0.25, 0.25, 0.3747028951182449, 0.37716594176378604, 0.29826762805535206, 0.28853248121817593, 0.25, 0.44166638845129863, 0.652352779634794, 0.2753898104709218, 0.3222887080201061, 0.4426423790017302, 0.25, 0.8190145812554891, 0.26092102916779863, 0.2926794894224648, 0.34298882325603647, 0.30031644582092365, 0.25]",0.008241184553436661,0.00840904995389141,0.0033573080090949776,0.00530095664660031,0.0017960261499099124,0.008627216285616517,0.008320791173013943,4.4562414052016406e-05,0.008491017957307546,4.563804328788972e-05,0.003404535685872127,3.7947453922975225e-05,0.009259787783701942
True,5,47,202.08325624465942,500,False,,500,20,10,1024,12000,3,0.05,0.05,0.01,0.003,0.003,0.01,1024,0.3,-0.22018792250336253,0.20997623891485406,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.703333333333333,1.0,0.96,-0.2727265220110141,0.482381375827834,0.25,1.086216872987002,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.26422269890317945, 0.29663262598823675, 0.3641852262876207, 0.3411461966272221, 0.42064167236900163, 0.27963507286520095, 0.25, 0.25, 0.5070271571831799, 0.7833489143175179, 0.29302103904678045, 0.29302098336561994, 0.25, 0.9080251844388103, 0.8694503743797452, 0.3308125080261903, 0.43157316858007094, 0.4988616234827174, 0.25, 0.9910303361252137, 0.37784164635573814, 0.6994170473612991, 0.8832874960548411, 0.9763534239376637, 0.25]",0.015999024213264497,0.016395529416197856,0.007930104058667184,0.01059560635394511,0.004368128667807554,0.010884348461438568,0.015942333601852408,5.470185772712685e-05,0.016341536932627732,5.573196886913568e-05,0.007984066615506508,0.00010273418456101988,0.010479390688729303
True,17,59,98.59088015556335,500,False,,500,20,10,1024,12000,1,0.08,0.1,0.003,0.01,0.01,0.01,256,0.15,-0.9999734386011134,2.224156070299059e-16,-0.9999734386011132,-0.9999734386011132,-0.9999734386011132,100.0,0.0,0.0,-1.0000407455961726,0.3985877300612161,0.25,1.1984831993481546,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3, 1, 0, 1, 2, 0, 1, 3, 3, 3, 3, 0]","[0.2519811909517261, 0.25559578266754746, 0.2679539181451741, 0.29426886926312523, 0.2533598786574524, 0.2581573668126509, 0.25, 0.25, 0.34632711928884846, 0.3058134184219954, 0.2758008243744736, 0.2750377155710418, 0.25, 0.8278872101303445, 0.6962754331923088, 0.2736159636900401, 0.31487153324269795, 0.6072578801095654, 0.25, 0.8986559195925359, 0.26224998355399676, 0.36100343737056106, 0.7263899994663969, 0.9621898070279195, 0.25]",0.0025165391753042992,0.0026587205344850815,0.0014218135918078237,0.007804783605265501,0.0013848128066445782,0.003554527219363676,0.0025471901260434014,1.8877577006136307e-05,0.0026910891831799827,1.9604841642241822e-05,0.0014389905713658186,1.226084912830604e-05,0.004638643535200829
True,16,58,102.85242819786072,500,False,,500,20,10,1024,12000,1,0.01,0.1,0.01,0.03,0.01,0.0001,512,0.3,-0.22406375960066563,0.22600309001409993,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.76,1.0,0.9533333333333334,-0.2806746850584072,0.7973035349671407,0.25,0.3874058481250275,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.7851317266596295, 0.9993639045364976, 0.9996666084510227, 0.5814303321889167, 0.9999568679203105, 0.999176634328194, 0.25, 0.25, 0.9997627739700805, 0.9999976429572724, 0.6752229307046126, 0.9998062427503543, 0.25, 1.0, 0.9999990854648603, 0.7335398781504302, 0.9096246774352538, 1.0, 0.25, 1.0, 0.9999288335345432, 0.9999811735897576, 0.9999990615367836, 1.0, 0.25]",0.018795464473605923,0.020061906477805494,0.012664420041995722,0.019000926444404296,0.007156855123163261,0.014943078335092189,0.01878866798121277,5.514528865609286e-05,0.020048221193471653,6.372798877782097e-05,0.012595532122588843,0.00012368424574821945,0.012657342929907391
True,10,52,184.25163173675537,500,False,,500,20,10,1024,12000,2,0.05,0.1,0.03,0.003,0.01,0.01,256,0.4,-0.7410309696218736,0.27263131018258774,-0.8564204024616298,-1.0000000000000009,-0.04340619999999995,30.813333333333333,0.9733333333333334,0.9066666666666666,-0.8094756163757518,0.44319514222766654,0.25,1.1449538094115912,"[3, 0, 3, 3, 1, 0, 0, 0, 3, 1, 0, 2, 0, 3, 1, 0, 0, 2, 0, 1, 0, 3, 3, 3, 0]","[0.28834378446127024, 0.2594901534306631, 0.2698489483617548, 0.3213097872336277, 0.4792034472343622, 0.3414385444348671, 0.25, 0.25, 0.38636000623185923, 0.650734956011778, 0.3562667672065242, 0.31281528394847874, 0.25, 0.8610516754370563, 0.7812198241675484, 0.34626174777878865, 0.41484281851656984, 0.4459716694473601, 0.25, 0.9703166636783396, 0.26245447414435785, 0.3662055833881266, 0.7209804779717918, 0.9947619426065393, 0.25]",0.033454339245755166,0.03943455408487359,0.05980214839118421,0.03127288315962739,0.09122865697204725,0.02624660718617719,0.07060653086948014,0.014212249213873053,0.09800507271394931,0.0332794077281603,0.27398541844469154,0.24152287506603437,0.049115435566141744
True,13,55,185.06889247894287,500,False,,500,20,10,1024,12000,2,0.02,0.2,0.003,0.01,0.001,0.01,256,0.3,-0.25536977374215164,0.23574083553697692,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.033333333333333,1.0,0.9466666666666667,-0.31440364421260175,0.3311497465077578,0.25,1.327258467228563,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 0, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.2525687740680082, 0.25878371357296104, 0.2735895590002503, 0.27063484956255385, 0.2971367522027463, 0.26588748833301107, 0.25, 0.25, 0.2895120351582981, 0.3597816428928597, 0.26271395937060954, 0.25644690969764883, 0.25, 0.35050992406280307, 0.5719497405088215, 0.26983000345272695, 0.3065394579135268, 0.40314286022978285, 0.25, 0.77006970935777, 0.2777708952451005, 0.3702229312560651, 0.49988756382870386, 0.4217648929796986, 0.25]",0.010996385679402795,0.01160405953301632,0.0030383692680676275,0.012431990154249993,0.0025061530892426373,0.01577854646432785,0.011109053654279557,6.187951965089075e-05,0.011711573997439821,6.543604153476372e-05,0.0030126017158013272,2.691457617146058e-05,0.01288851346110206
