ok,run_id,seed,seconds,episodes_completed,stopped_early,stop_reason,episodes,collect_per_episode,updates_per_episode,initial_collect_steps,max_buffer_size,tau,rollout_length,lambda_entropy,eta,lr_value,lr_rho,lr_policy,fisher_damping,batch_size,epsilon,eval_return_mean,eval_return_std,eval_return_median,eval_return_min,eval_return_max,eval_length_mean,eval_done_rate,eval_success_rate,score,mean_best_prob,min_best_prob,mean_entropy,best_actions,best_probs,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm,tail_objective_mean,tail_objective_std,tail_primal_mse_mean,tail_primal_mse_std,tail_dual_mse_mean,tail_dual_mse_std
True,7,49,664.3251819610596,1500,False,,1500,20,10,1500,12000,100000.0,2,0.05,0.05,0.001,0.001,0.001,0.01,1024,0.35,-0.7417110407299148,0.26342852890439955,-0.8316041757266027,-1.0000000000000007,-0.04340619999999995,29.953333333333333,0.98,0.9333333333333333,-0.8076428944857102,0.4190966037520448,0.2525101625566718,1.2012026517056138,"[3, 1, 3, 3, 1, 3, 3, 3, 3, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.2525101625566718, 0.2585681543071298, 0.2683883500190234, 0.2775850128698875, 0.3137621056799461, 0.2637127486523502, 0.335919645522095, 0.4024210732218644, 0.4039858166678768, 0.34563079586767453, 0.2663778055744734, 0.3061699415502328, 0.3262587839052644, 0.30262777825254084, 0.7054472815638974, 0.2783075279091167, 0.4409782244495295, 0.42810951576385264, 0.5077750696422231, 0.8225156050043272, 0.33485201292942224, 0.4020281869636959, 0.7795388054833939, 0.8817772571023282, 0.5721674323423025]",0.009312611246330066,0.009548112923730152,0.004710033548001742,0.0044735610748771115,0.0034096346472081876,0.007536885157678329,0.009262966348884967,5.917123758205712e-05,0.009498923850836694,5.9076648890457054e-05,0.004719150039034521,3.431445274435565e-05
True,8,50,670.4797811508179,1500,False,,1500,20,10,1500,12000,100000.0,2,0.08,0.03,0.001,0.001,0.001,0.01,1024,0.4,-0.9998927982601833,0.0012468787451937419,-0.9999734386011132,-0.9999734386011132,-0.9784494726713888,99.61,0.013333333333333334,0.013333333333333334,-1.000258913854986,0.3660092344377663,0.2520281962421652,1.2840835909865043,"[2, 1, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 0, 0, 1, 0, 1, 2, 1, 1, 3, 1, 1, 1, 1]","[0.2520281962421652, 0.25902712470040723, 0.26521891909851797, 0.26404941924168585, 0.2787679842015785, 0.25937059026813886, 0.38950566115378976, 0.4341288077059003, 0.37782197370853965, 0.3088794444026286, 0.2650466666384369, 0.29161115738458987, 0.4234922842366514, 0.4915874252590906, 0.5256842582732543, 0.2627333405641674, 0.3411165832134202, 0.327472696141457, 0.4348095070940797, 0.7529427298168208, 0.27206623454221623, 0.29887575952938006, 0.346442158530962, 0.4318224394947376, 0.5957294995015414]",0.0051803127419155605,0.005267207283406865,0.0028964847163768103,0.00277683689785616,0.0014903309610765252,0.010518474961914754,0.00517226485668362,3.553933446643132e-05,0.005259458931970849,3.586840751083339e-05,0.002906469176240918,2.0810887026005567e-05
True,21,63,365.4018085002899,1500,False,,1500,20,10,1500,12000,100000.0,1,0.05,0.01,0.0003,0.0003,0.0003,0.001,512,0.3,-0.9977881632573317,0.018142976321205692,-0.9999734386011132,-1.0000000000000004,-0.7811620217369755,97.34666666666666,0.06666666666666667,0.06333333333333334,-1.0023752010147104,0.34513257082620213,0.2506959674364877,1.3095571693426211,"[0, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 2, 0, 1, 3, 1, 2, 1, 1, 3, 1, 3, 3, 3]","[0.2506959674364877, 0.25217872159113275, 0.2553139730379156, 0.2584497635838126, 0.2508509961498595, 0.2523713261775315, 0.36944099370910327, 0.38737651455414807, 0.31628346974755356, 0.2715976112506238, 0.2511234233216592, 0.25956126359229836, 0.3298108110108302, 0.3615311740153439, 0.3834478719467524, 0.2516697725505247, 0.30989447302848805, 0.35831398623826605, 0.26814601011962136, 0.4687879852742546, 0.27693824062729444, 0.2726318086330283, 0.547526547116637, 0.7808725860943891, 0.6434989798474982]",0.003130023916897136,0.003147111208444709,0.00170872915475734,0.009329934887707201,0.0018803092582151577,0.006638904131270249,0.00311504324380676,1.4215899541009946e-05,0.0031320458799824337,1.4303080184111031e-05,0.0017002636175674414,8.77706779804334e-06
True,10,52,788.996025800705,1500,False,,1500,20,10,1500,12000,100000.0,3,0.05,0.01,0.001,0.0003,0.001,0.01,1024,0.4,-0.27665258062287706,0.27321559003756857,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.52,1.0,0.93,-0.34505407612513367,0.5041817364307896,0.2662707634715778,1.0873889099266207,"[3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 0, 3, 3, 1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 1]","[0.27047742001973285, 0.30046357663792306, 0.3596747219317134, 0.3441413012662922, 0.5324711081365482, 0.2662707634715778, 0.45471196758958515, 0.6792515834410819, 0.720523761406254, 0.6635521443974102, 0.2813929316578812, 0.2807255931597682, 0.3958580562299884, 0.6707699371425236, 0.8995799401375798, 0.2946948828734308, 0.3780475454512581, 0.2768700843169799, 0.5733311627186015, 0.9396637908239643, 0.3726661989076954, 0.4015453338629985, 0.7486060389206017, 0.8203174497283363, 0.6789361165400117]",0.016904581302698746,0.016980799015422664,0.007621771272391862,0.004404629675760362,0.005053019248324553,0.015584914495006232,0.017109254642210806,0.00010060520269966478,0.017186941553333824,0.00010102102601113297,0.007768691112301962,5.055640996164052e-05
True,13,55,808.0369734764099,1500,False,,1500,20,10,1500,12000,100000.0,3,0.08,0.05,0.0003,0.0003,0.0003,0.01,1024,0.4,-0.9985947664117217,0.01490582312911601,-0.9999734386011132,-1.0000000000000007,-0.7568466908188617,97.91666666666667,0.06,0.056666666666666664,-1.0023889222868185,0.3270481847580541,0.2528824013731574,1.33485807795396,"[2, 2, 2, 2, 3, 3, 3, 3, 0, 3, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3]","[0.2528824013731574, 0.25876069105015487, 0.2681408353382357, 0.2673411004457474, 0.25981236796921037, 0.2621440796838016, 0.30863908856343375, 0.33382554894869976, 0.31980236262748707, 0.2971111051786212, 0.2629207122841072, 0.2931865421431254, 0.35197312784631746, 0.37328485867553673, 0.3220158217487793, 0.2663349279082124, 0.3365814341137081, 0.32522849807862864, 0.3514713277903814, 0.44340496010153113, 0.2584785367204957, 0.30116936024754576, 0.39485856627477167, 0.5847981304477802, 0.4820382333918837]",0.009824283582931847,0.01007599039585681,0.005034136258499278,0.0042002237581734774,0.0022010904799463042,0.010885695363992722,0.009794180179737873,6.211841240765825e-05,0.01004568728166384,6.226103217321423e-05,0.005030142038519352,5.9836556735274775e-06
True,12,54,828.2286365032196,1500,False,,1500,20,10,1500,12000,100000.0,3,0.08,0.03,0.0003,0.0003,0.001,0.01,1024,0.4,-0.9985641136793665,0.013882730208067769,-0.9999734386011132,-1.0000000000000009,-0.803045819563278,97.46333333333334,0.08333333333333333,0.07,-1.0020928192635166,0.35453565205314347,0.25303457974937726,1.287506135127262,"[0, 1, 2, 2, 3, 3, 3, 3, 0, 3, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 3, 1, 3, 3, 1]","[0.25303457974937726, 0.26107107017320424, 0.2667511056181378, 0.27062513031310104, 0.2551222369050293, 0.26076249690216097, 0.4323421346325246, 0.44083588973944227, 0.3948100696295634, 0.32316498460511334, 0.26532888190605564, 0.2851739406206356, 0.42232755445807835, 0.5187606531031463, 0.3523253871455292, 0.2719308213296706, 0.33928009781967555, 0.4829032131723449, 0.32898551479422433, 0.5562031867906159, 0.265034094409501, 0.3096534892107851, 0.35627024055469825, 0.5119655284937206, 0.43872899925225123]",0.007494637609182196,0.007635954915990786,0.004710576893619657,0.0034680191088673077,0.0023643973343670114,0.005852214104085548,0.007572048342820639,7.685140603953637e-05,0.00771381110288766,7.731274428802903e-05,0.0047254253355673344,1.560532817153059e-05
True,11,53,829.083681344986,1500,False,,1500,20,10,1500,12000,100000.0,3,0.05,0.03,0.001,0.0003,0.001,0.01,1024,0.4,-0.7625761942639954,0.27054695099999143,-0.8953304733945282,-1.0000000000000007,-0.04340619999999995,33.11333333333334,0.9733333333333334,0.9133333333333333,-0.8302855082817137,0.4052248606434994,0.2553847153282527,1.2321832694878054,"[1, 1, 2, 2, 1, 3, 3, 3, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.2553847153282527, 0.25950489274849853, 0.2598559248659389, 0.26328840194922853, 0.29717715889903396, 0.2638813726449429, 0.363834445823434, 0.4301770869735771, 0.39962941981382855, 0.3383818577514241, 0.28127132052248643, 0.319579012779943, 0.3138114325063274, 0.3480514288327504, 0.5782002084562987, 0.29123716807081695, 0.4484641424989932, 0.43488976854802286, 0.447793907726217, 0.6848698549489474, 0.35898379329222646, 0.46242553551878174, 0.7209860070144852, 0.7890192310671208, 0.5199234275059104]",0.011464954100432346,0.011602803918903712,0.004594993949045531,0.0020866378489163714,0.0015552351962893876,0.011506164687194438,0.01130507522878049,0.00010750440867536808,0.011442450122177743,0.00010773041324723629,0.004579163113241694,8.278060975221941e-06
True,22,64,327.42434883117676,1500,False,,1500,20,10,1500,12000,100000.0,1,0.02,0.0,0.001,0.001,0.001,0.001,512,0.3,-0.2538642160089586,0.28715904529894765,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.373333333333333,1.0,0.8966666666666666,-0.32573466861851186,0.5137265822043757,0.2671628194582736,1.034409011113104,"[3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 0, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.2671628194582736, 0.3000458745466466, 0.3046061507631448, 0.2969966011552082, 0.38501773209080864, 0.2996568948760081, 0.5730854434245569, 0.6383736541764458, 0.48336879853884385, 0.49103745901502405, 0.30258735371358664, 0.2920267376634175, 0.37918995419648005, 0.40177041721734313, 0.9795109070724596, 0.29271581128844204, 0.4533740989035092, 0.5305783272296253, 0.7189883741734894, 0.9920089663818421, 0.3618531867451164, 0.5024063294029417, 0.9781706099961037, 0.9936285195265527, 0.6250035335535223]",0.009377949375148902,0.009377949375148902,0.005435330001257638,0.0055898330976902255,0.007092525743108801,0.009573874465943606,0.009285640663944245,8.105395147183807e-05,0.009285640663944245,8.105395147183807e-05,0.0054194618658720654,1.1052525393604404e-05
True,23,65,330.2101366519928,1500,False,,1500,20,10,1500,12000,100000.0,1,0.05,0.0,0.001,0.001,0.001,0.001,512,0.35,-0.2879459120815876,0.28341748590669386,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.153333333333334,1.0,0.9066666666666666,-0.3588662531319916,0.4823051717575557,0.25583406555672944,1.0792183403005247,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 2, 0, 1, 3, 1, 2, 1, 1, 3, 3, 3, 3, 3]","[0.25583406555672944, 0.2610253269604926, 0.26591664499567697, 0.26402627311034393, 0.3099836874892456, 0.25882776832353943, 0.6756879450390783, 0.6967335807329128, 0.43517452042906934, 0.34255549786026435, 0.27216637918995285, 0.2762390340992313, 0.47316828403589706, 0.4065658735908981, 0.9066487722330628, 0.2687168582914197, 0.4034734201006006, 0.5302342751297802, 0.7571275859146775, 0.9624431875172494, 0.3235612998463654, 0.36216287403585745, 0.8653490741673547, 0.9483167434504917, 0.5356903218387029]",0.004804443178052176,0.004804443178052176,0.0030913301688735104,0.001750492998088141,0.0009117703874241168,0.004003165167202845,0.004834215164270319,1.9808364922074134e-05,0.004834215164270319,1.9808364922074134e-05,0.0030969873462002996,1.1598410008242796e-05
True,25,67,324.2077658176422,1500,False,,1500,20,10,1500,12000,100000.0,1,0.01,0.03,0.001,0.001,0.003,0.001,512,0.3,-0.24569899339131704,0.24270058908055092,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.756666666666666,1.0,0.9333333333333333,-0.306498579581584,0.9176139249324359,0.5201138590528088,0.18521431687489717,"[3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3]","[0.5201138590528088, 0.9401076074106024, 0.9544858926396936, 0.7711267428317209, 0.998464405610949, 0.906432375473733, 0.9954417669586179, 0.9999999919098069, 0.9999999995586275, 0.74340854809706, 0.8987518475402136, 0.9999707684987619, 0.9994934377876139, 0.9999999252211369, 0.9999336715213657, 0.7379070169035155, 0.9999999880444238, 0.8309772187997598, 0.9999983630297977, 0.9999485758022228, 0.996499918744103, 0.6472874019182441, 0.9999999999312785, 1.0, 0.999998800024841]",0.02337976570018064,0.023851900657685464,0.015737831916827504,0.014686861821646796,0.00457103009029574,0.018411988261214974,0.023423338887989913,7.277736621678545e-05,0.02389710258729178,7.603160182440378e-05,0.015792123310062273,0.00011329519534075345
True,17,59,643.1631669998169,1500,False,,1500,20,10,1500,12000,100000.0,2,0.05,0.1,0.001,0.0003,0.001,0.01,1024,0.4,-0.7540257483243492,0.27011981662691936,-0.8707783622154668,-1.0000000000000009,-0.04340619999999995,30.053333333333335,0.9866666666666667,0.9133333333333333,-0.8216248869181269,0.4385435551951561,0.25932038644846295,1.1818557709251807,"[1, 1, 3, 3, 1, 3, 3, 3, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 3, 1, 3, 3, 3, 3, 3]","[0.25932038644846295, 0.264021781781905, 0.2644941494941656, 0.26706092987472446, 0.30556455785327824, 0.26597652898200214, 0.35445617367695315, 0.4457478887024072, 0.4397599165369735, 0.3449116712141077, 0.2941902163303189, 0.34215008065281644, 0.33184275064635005, 0.3759369820252719, 0.5786182613165614, 0.31393399292191665, 0.49991866206942276, 0.44586712063107586, 0.5127307791372958, 0.6117444525972113, 0.4079880706615866, 0.5022851277562124, 0.855333819398226, 0.9377196336183584, 0.7420149455512971]",0.011198249968306647,0.011880304978049644,0.006820550097429964,0.00786095878290986,0.004352730413385193,0.013611640262061549,0.011121984759097578,6.566353587627192e-05,0.01180465758442724,6.568682190772891e-05,0.006826728253296611,8.244872857377779e-06
