label,state_weight_update,c_min,seed,average_return,optimal_return,gap,alpha,eta,rho,D_theta,T
clipped c_min=0.01,clipped,0.01,42,-0.7607255651457892,-0.34390000000000004,0.4168255651457891,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,43,-0.7446402769567461,-0.34390000000000004,0.400740276956746,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,44,-0.7644986574370461,-0.34390000000000004,0.4205986574370461,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,42,-0.7607255651457892,-0.34390000000000004,0.4168255651457891,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,43,-0.7446402769567461,-0.34390000000000004,0.400740276956746,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,44,-0.7644986574370461,-0.34390000000000004,0.4205986574370461,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,42,-0.7607255651457892,-0.34390000000000004,0.4168255651457891,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,43,-0.7446402769567461,-0.34390000000000004,0.400740276956746,0.1,0.1,0.01,1.0,2000
clipped c_min=0.01,clipped,0.01,44,-0.7644986574370461,-0.34390000000000004,0.4205986574370461,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,42,-0.6852234748593604,-0.34390000000000004,0.3413234748593604,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,43,-0.6691381866703173,-0.34390000000000004,0.3252381866703173,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,44,-0.6971754441406174,-0.34390000000000004,0.35327544414061735,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,42,-0.6852234748593604,-0.34390000000000004,0.3413234748593604,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,43,-0.6691381866703173,-0.34390000000000004,0.3252381866703173,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,44,-0.6971754441406174,-0.34390000000000004,0.35327544414061735,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,42,-0.6852234748593604,-0.34390000000000004,0.3413234748593604,0.1,0.1,0.01,1.0,2000
clipped c_min=0.02,clipped,0.02,43,-0.6691381866703173,-0.34390000000000004,0.3252381866703173,0.1,0.1,0.01,1.0,2000
