problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-05,,0.001,10,0.03,3000,1,1,0,166.66100965096848,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07799999999999997,0.07799999999999997,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-09,,0.001,10,0.03,3000,1,1,0,176.91729620599654,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-09,,0.001,10,0.03,3000,1,1,0,178.70986221299972,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-08,,0.001,10,0.03,3000,1,1,0,187.67551810399164,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-08,,0.001,10,0.03,3000,1,1,0,179.25083951000124,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,1,1,0,180.85465988295618,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-07,,0.001,10,0.03,3000,1,1,0,176.115442068025,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-06,,0.001,10,0.03,3000,1,1,0,181.95524170802673,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-06,,0.001,10,0.03,3000,1,1,0,181.8308185940259,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-05,,0.001,10,0.03,3000,1,1,0,185.5347045090166,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-05,,0.001,10,0.03,3000,1,1,0,186.845812796033,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,0.0001,,0.001,10,0.03,3000,1,1,0,178.25610364502063,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0963,-0.0963,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-06,,0.001,10,0.03,3000,1,1,0,182.89599114196608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-06,,0.001,10,0.03,3000,1,1,0,185.25968378898688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,10.0,0.001,10,1.0,3000,1,1,0,147.68223172001308,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.15715000000000007,-0.15715000000000007,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,100.0,0.001,10,1.0,3000,1,1,0,141.37058008898748,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.19720000000000013,-0.19720000000000013,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,300.0,0.001,10,1.0,3000,1,1,0,141.26647893997142,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.19775000000000012,-0.19775000000000012,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,30.0,0.001,10,1.0,3000,1,1,0,140.0820605409681,0.87,0.87,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.23390000000000022,-0.23390000000000022,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,0.3,0.001,10,1.0,3000,1,1,0,137.20127930201124,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.1619500000000005,-2.1619500000000005,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,3.0,0.001,10,1.0,3000,1,1,0,150.29105658701155,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.06625,-2.06625,0.0,0.0,0.0,-2.054050000000001,-2.054050000000001,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,1.0,0.001,10,1.0,3000,1,1,0,145.31828580697766,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.181800000000001,-2.181800000000001,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,0.3,0.001,10,1.0,3000,1,1,0,151.49288733600406,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,1.0,0.001,10,1.0,3000,1,1,0,156.2594803889515,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,3.0,0.001,10,1.0,3000,1,1,0,147.32448683597613,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
