alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,num_trajectories,max_steps,seed,nn_seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.05,1000,0.03,5,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,17.283182755985763,0.6,-0.6529490669736859,-0.20599050048842169,2.1267360181145323,0.87,-0.26434107909843607,2.7563718908088446,0.19089255533877802,-17.021581225815783,137.72816411151993,-23.928818906921226,-17.005766108432454,307.1657399075179,34.03473235479891,42.07501374502744,0.2815360178126614,1063
0.0005,1e-05,0.2,1000,0.03,3,0.001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,13.982505414984189,0.42,-0.7334063058771146,-0.5905647425670485,2.454435061879607,0.87,-0.26434107909843607,2.7563718908088375,0.1908925553387935,-61.501078708283124,58.4647960656091,-31.364078784431733,-61.550550506893174,188.26929927433486,87.90758723603751,58.83321889832585,0.6230161686243048,766
0.001,1e-05,0.1,600,0.03,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.42300634100684,0.37,-0.7516484794005269,-0.7136832151411682,2.709955691789987,0.87,-0.26434107909843607,2.7563718908088375,0.1908925553387935,-7.591278899512897,10.928749841957943,22.425276301846175,-7.4879484411109125,106.47051031709047,20.50981980655875,47.521925777880675,2.7925633068802553,50
0.001,1e-05,0.05,1000,0.03,5,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,17.591775515000336,0.32,-0.7817208088233807,-0.7548155608904156,2.7119657272582085,0.87,-0.276291473607931,2.7700166601982326,0.2622422532890169,-74.84058992627979,-143.83904983296262,8.253803342756049,-74.90463712165874,310.9460077773269,47.68988054588885,71.65188507652768,0.38548150561481875,1927
0.001,1e-05,0.01,1000,0.03,3,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,13.692132830008632,0.27,-0.7882660979417999,-0.8881219272356915,2.986808514836066,0.87,-0.26434107909843607,2.7563718908088375,0.1908925553387935,-65.15675467916574,-164.3070781940732,15.84332290252078,-65.18759303042124,287.1975982418375,3.3361797562767395,39.533373266294745,0.23293569715613732,14
0.001,1e-05,0.05,1000,0.03,5,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,17.606150890991557,0.66,-0.6568462988425463,-0.09025274226326441,2.0803143076756525,0.82,-0.3088987538686687,2.4086191040567906,0.5400855337615393,-57.669818144972226,283.97302071355534,58.037569416147846,-57.783010065102246,412.9430995909176,52.00347479511452,60.20885413884863,1.2806309963824096,1926
0.0005,1e-05,0.05,1000,0.06,3,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,13.707500707008876,0.61,-0.6477505009262995,-0.22330923446317585,2.071871147818919,0.82,-0.29364881188199304,2.4030203655823112,0.3666344515186071,-48.339492405064135,353.2854260221654,47.31042599835742,-48.49777898479596,438.9566315406439,12.827702579320537,42.16620261753513,1.5972027336470922,225
0.0005,3e-05,0.05,1000,0.03,5,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,17.503584223013604,0.51,-0.6898154550202671,-0.0886064219185979,2.1493859776667863,0.82,-0.29364881188199304,2.4030203655823033,0.3666344515186232,-44.03653520738211,136.90723945097452,-29.006081533945576,-44.29038334167166,178.0050616921382,93.51464073533356,31.629800869718338,1.35476298171326,1064
0.001,1e-05,0.1,1500,0.03,3,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,19.66180781100411,0.44,-0.721092214324938,-0.5577495591649841,2.4228316619981207,0.82,-0.29364881188199304,2.4030203655823033,0.3666344515186232,-47.435875222182354,232.14906775358963,-13.754130273035594,-47.52321296475259,207.15503025217004,36.35388785275671,27.264347683992153,1.9471550489186218,2276
0.0005,3e-05,0.2,1500,0.03,5,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,25.316888610017486,0.09,-0.8726190838720771,-0.9824131820540554,2.9966491057285767,0.82,-0.29364881188199304,2.4030203655823033,0.3666344515186232,-31.792931940775137,-40.81011423615915,-5.66957484192503,-31.78529463566121,293.6512801750668,27.366966846638928,15.390070503393304,2.060510597007374,1737
0.0005,3e-05,0.2,1500,0.03,3,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,19.950669689977076,0.6,-0.6637188748749323,-0.1216491104460562,2.0386764120234266,0.76,-0.3580287511120218,1.6006398785818914,1.0936195428859798,-12.067814827102758,37.003274981131554,35.809121178639884,-11.92522330654971,272.7940702824175,47.087788268968445,55.269569599329685,1.526778631432923,1713
0.001,1e-05,0.1,1500,0.06,5,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,25.733579417981673,0.45,-0.7126552954690355,-0.4011696355426701,2.1797555396366435,0.76,-0.3580287511120218,1.6006398785818914,1.0936195428859798,-37.31781801509049,-335.6809064618153,4.500873085384275,-37.341583426529894,206.59364309889236,4.802830861811546,11.999449657424675,0.18804974221862708,2359
