problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,396.6663971479866,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,381.09580485202605,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,402.8569123619818,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,384.71309343498433,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,1,1,0,323.82143950799946,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1171,-0.1171,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,301.94864697701996,0.07,0.07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.12739999999999999,-0.12739999999999999,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,1e-05,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,347.64557269896613,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,1e-05,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,367.8680878109881,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,1e-05,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,354.98856637696736,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,1e-05,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,369.01133350096643,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,1e-05,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,319.8121856049984,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
