run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
104,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
105,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
106,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
107,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
108,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
109,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
110,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
111,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
112,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
113,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
114,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
115,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
116,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
117,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
118,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
119,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
120,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
121,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
122,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
123,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
124,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
125,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
126,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
127,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
128,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
129,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
130,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
131,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
132,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
133,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
134,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
135,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
136,grid,0.8010638064134422,0.0001,0.001,0.01,2000,0.5,clipped,0.0,0.1,0.8010638064134422
137,grid,0.8010638064134422,0.0001,0.001,0.01,2000,0.5,clipped,0.1,0.1,0.8010638064134422
138,grid,0.8010638064134422,0.0001,0.001,0.01,2000,0.5,clipped,0.2,0.1,0.8010638064134422
139,grid,0.8010638064134422,0.0001,0.001,0.01,2000,1.0,clipped,0.0,0.2,0.8010638064134422
140,grid,0.8010638064134422,0.0001,0.001,0.01,2000,1.0,clipped,0.1,0.2,0.8010638064134422
141,grid,0.8010638064134422,0.0001,0.001,0.01,2000,1.0,clipped,0.2,0.2,0.8010638064134422
142,grid,0.8010638064134422,0.0001,0.001,0.01,2000,2.0,clipped,0.0,0.4,0.8010638064134422
143,grid,0.8010638064134422,0.0001,0.001,0.01,2000,2.0,clipped,0.1,0.4,0.8010638064134422
144,grid,0.8010638064134422,0.0001,0.001,0.01,2000,2.0,clipped,0.2,0.4,0.8010638064134422
145,grid,0.8010638064134422,0.0001,0.01,0.01,2000,0.5,clipped,0.0,0.1,0.8010638064134422
146,grid,0.8010638064134422,0.0001,0.01,0.01,2000,0.5,clipped,0.1,0.1,0.8010638064134422
147,grid,0.8010638064134422,0.0001,0.01,0.01,2000,0.5,clipped,0.2,0.1,0.8010638064134422
148,grid,0.8010638064134422,0.0001,0.01,0.01,2000,1.0,clipped,0.0,0.2,0.8010638064134422
149,grid,0.8010638064134422,0.0001,0.01,0.01,2000,1.0,clipped,0.1,0.2,0.8010638064134422
150,grid,0.8010638064134422,0.0001,0.01,0.01,2000,1.0,clipped,0.2,0.2,0.8010638064134422
151,grid,0.8010638064134422,0.0001,0.01,0.01,2000,2.0,clipped,0.0,0.4,0.8010638064134422
152,grid,0.8010638064134422,0.0001,0.01,0.01,2000,2.0,clipped,0.1,0.4,0.8010638064134422
153,grid,0.8010638064134422,0.0001,0.01,0.01,2000,2.0,clipped,0.2,0.4,0.8010638064134422
154,grid,0.8010638064134422,0.0001,0.1,0.01,2000,0.5,clipped,0.0,0.1,0.8010638064134422
155,grid,0.8010638064134422,0.0001,0.1,0.01,2000,0.5,clipped,0.1,0.1,0.8010638064134422
156,grid,0.8010638064134422,0.0001,0.1,0.01,2000,0.5,clipped,0.2,0.1,0.8010638064134422
157,grid,0.8010638064134422,0.0001,0.1,0.01,2000,1.0,clipped,0.0,0.2,0.8010638064134422
158,grid,0.8010638064134422,0.0001,0.1,0.01,2000,1.0,clipped,0.1,0.2,0.8010638064134422
159,grid,0.8010638064134422,0.0001,0.1,0.01,2000,1.0,clipped,0.2,0.2,0.8010638064134422
160,grid,0.8010638064134422,0.0001,0.1,0.01,2000,2.0,clipped,0.0,0.4,0.8010638064134422
161,grid,0.8010638064134422,0.0001,0.1,0.01,2000,2.0,clipped,0.1,0.4,0.8010638064134422
162,grid,0.8010638064134422,0.0001,0.1,0.01,2000,2.0,clipped,0.2,0.4,0.8010638064134422
163,grid,0.8010638064134422,0.0001,0.5,0.01,2000,0.5,clipped,0.0,0.1,0.8010638064134422
164,grid,0.8010638064134422,0.0001,0.5,0.01,2000,0.5,clipped,0.1,0.1,0.8010638064134422
165,grid,0.8010638064134422,0.0001,0.5,0.01,2000,0.5,clipped,0.2,0.1,0.8010638064134422
