sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.03,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9250999999999999,0.9300000000000002,129.86398750799708,529
main_ablation,deterministic,fogas_full,3000,0.001,0.0001,0.03,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9250999999999999,0.9300000000000002,148.37882796599297,21
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9250000000000002,0.9300000000000002,108.2404932579957,513
main_ablation,deterministic,fogas_diag,3000,0.001,0.0003,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9250000000000002,0.9300000000000002,144.7702800129773,14
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.005,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,142.36049893999007,10
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,155.37709254497895,25
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.05,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9249,0.9300000000000002,140.76753406401258,7
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9249,0.9300000000000002,160.4141401689849,35
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.3,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9249,0.9300000000000002,174.6621296040248,88
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9248000000000001,0.9300000000000002,170.33043242798885,64
