problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,checkpoint_step,count,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,840,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1789,-0.1789,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,860,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1789,-0.1789,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,880,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1789,-0.1789,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,900,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1789,-0.1789,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,920,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,940,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,960,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,980,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1000,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1020,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
