alpha,eta,rho,fisher_damping,T,theta_lr,D_theta,theta_mode,theta_optimizer,theta_inner_steps,theta_start_mode,theta_include_beta_cov,d_theta_scale,beta_update,policy_optimizer,policy_gradient,cg_iters,cg_tol,state_weight_update,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0002,0.0001,0.001,0.0001,1600,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,81.35764502035454,0.91,-0.7911113820161333,1.0183690574041295,1.8431606057847696,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964192744028,-0.10022476268465072,3.1800759554773575e-07,-0.09997458817007465,5.967970682906986,8.059315007668469e-08,0.00016523697972500588,0.04991912783587425,41
0.0002,0.0001,0.001,0.001,1600,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,71.97869990207255,0.91,-0.7911113820161333,1.0183690495043136,1.8431606106323586,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964192731807,-0.10022478569125576,3.1800771475141706e-07,-0.09997458561142014,5.9679727108719876,8.059168815146712e-08,0.00016522959147970443,0.04991912398299988,189
0.0002,0.0001,0.001,0.001,1600,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.04881735378876,0.91,-0.7911113820161333,1.0183690495043136,1.8431606106323586,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964192731807,-0.10022478569125576,3.1800771475141706e-07,-0.09997458561142014,5.9679727108719876,8.059168815146712e-08,0.00016522959147970443,0.04991912398299988,197
0.0002,0.0001,0.001,0.001,1000,0.1,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,43.397007456980646,0.91,-0.7911113820161333,1.0183690193034292,1.8431658063530325,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.16959243992674194,-0.17976671060813149,0.0004538185293690487,-0.1689453148019405,10.0,2.4187264709687e-05,0.013946352394465612,0.04950073138561146,131
0.0002,0.0001,0.001,0.01,1000,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,46.94987328723073,0.91,-0.7911113820161333,1.0183688019926675,1.8431607245412651,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.09999964207400765,-0.10021098161171733,3.178663288410901e-07,-0.09997611837423687,5.965544214956736,8.051239634791002e-08,0.00018156172835503634,0.04992570000266737,266
0.0002,0.0001,0.001,0.01,1000,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,46.951852230820805,0.91,-0.7911113820161333,1.0183688019926675,1.8431607245412651,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.09999964207400765,-0.10021098161171733,3.178663288410901e-07,-0.09997611837423687,5.965544214956736,8.051239634791002e-08,0.00018156172835503634,0.04992570000266737,265
0.0002,0.0001,0.001,0.001,1000,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,49.81101956125349,0.91,-0.7911113820161333,1.018368731378814,1.8431607654319715,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.09999964211025078,-0.10020741579654698,3.17830808463574e-07,-0.09997651501288943,5.964942657086279,7.949447670382e-08,0.00018308161653491996,0.04992659680546994,124
0.0002,0.0001,0.001,0.001,1000,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,54.75540448119864,0.91,-0.7911113820161333,1.018368731378814,1.8431607654319715,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.09999964211025078,-0.10020741579654698,3.17830808463574e-07,-0.09997651501288943,5.964942657086279,7.949447670382e-08,0.00018308161653491996,0.04992659680546994,127
0.0002,0.0001,0.001,0.0001,1000,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,51.10271712625399,0.91,-0.7911113820161333,1.0183687258598355,1.8431607677707584,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,-0.099999642110345,-0.1002073904049265,3.1783071740031946e-07,-0.0999765178378304,5.9649410863654495,7.949388920021346e-08,0.0001830860275854,0.049926600859253,5
0.0002,0.0001,0.001,0.0001,1000,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,52.5147927631624,0.91,-0.7911113820161333,1.0183687258598355,1.8431607677707584,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,-0.099999642110345,-0.1002073904049265,3.1783071740031946e-07,-0.0999765178378304,5.9649410863654495,7.949388920021346e-08,0.0001830860275854,0.049926600859253,9
