alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.1,5000,0.03,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,73.11904195199895,0.52,-1.0073017706866916,-1.0029392823681424,0.3479874967303254,1.0,-0.82274123760695,-0.8227412376069501,0.0,-11.291459395241482,289.5383816973425,-36.863920611655324,-11.051303229051555,8832.010852138705,10.204380122296913,8.091243590905519,0.03473933792701027,67
0.0005,3e-05,0.1,5000,0.003,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,48.1169496069997,0.62,-1.2142008280187055,-1.2902683353179822,0.5204038740526256,0.0,-0.9948462247926808,-1.0000000000000004,0.4254210297433204,-2.933974462360494,-64.28402188220474,8.5265000899739,-2.806572165556964,972.8177301465926,0.2089141830548902,1.5140285311344126,0.0244258345927773,8
0.0005,3e-05,0.1,5000,0.003,20,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,70.55059926599642,0.24,-1.2452301854692194,-1.2308682361261878,0.7269343205261172,0.0,-0.9948462247926808,-1.0000000000000004,0.4254210297433204,2.3730444094780605,-148.67929415448083,14.926140729380345,2.679194251313102,1804.0232844857928,0.4371229801229331,1.823082127159883,0.0203277645304201,16
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,43.502023184999416,0.14,-1.0443989256723412,-1.026330417505,0.4628340145289709,0.0,-0.9948462247926807,-1.0000000000000004,0.42542102974332047,4.727178479010114,347.37291560941327,-40.14935635404335,5.0795716786351806,7392.224175467458,9.123380097412142,9.829421312622573,0.03195610036663766,70
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,43.79673366299539,0.12,-1.0455799693551895,-1.0255525560539067,0.4662539436474168,0.0,-0.9948462247926807,-1.0000000000000004,0.42542102974332047,1.0502232769779312,364.5366901566226,-41.41286041091775,1.233766363157391,12895.605672240774,10.37880629658589,10.3985217622582,0.03229682853252479,68
0.0005,3e-05,0.1,5000,0.03,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,45.622951869001554,0.05,-1.3244114085806948,-1.341506231025407,1.4115654942692557,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.04122159721579888,-0.0006615181690484866,0.041899129606529174,-0.0008164456087248605,0.1,4.761642529130714e-08,0.027282910166572787,0.05041778167862645,56
0.0005,3e-05,0.1,5000,0.03,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,74.8304222930019,0.05,-1.3244114085806948,-1.341506231031012,1.4115654942635205,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.041221597215743803,-0.0006615181690514529,0.041899129606477514,-0.0008164456087285971,0.09999999999999999,4.761642529129017e-08,0.027282910166571972,0.050417781678814846,71
0.0005,3e-05,0.1,5000,0.003,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,47.79572870999982,0.05,-1.3244114085806948,-1.3415070217943506,1.4115662551270107,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0412216001480156,-0.0006615179427143,0.0418991324018121,-0.0008164454656554,0.1,4.76164993819e-08,0.0272829101966413,0.0504177883166266,7
0.0005,3e-05,0.1,5000,0.003,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,72.60974354400241,0.05,-1.3244114085806948,-1.3415062101239776,1.4115655210905764,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0412215973964555,-0.0006615181572036,0.0418991297738421,-0.0008164455939296,0.0999999999999999,4.761642689211281e-08,0.027282910169713,0.0504177810327381,20
0.0005,3e-05,0.1,5000,0.01,10,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,116.51292032699985,0.05,-1.3244114085806948,-1.341506226936367,1.411565499159285,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0412215972481159,-0.0006615181668934,0.0418991296363866,-0.0008164456059914,0.0999999999999999,4.7616425571513446e-08,0.027282910167152,0.0504177815564801,33
