problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,intended_prob,dataset_path,seed,checkpoint_idx,checkpoint_step,num_trajectories,max_steps,eval_seed,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,status,error,run_idx
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,1,500,100,50,10000,0.0,-1.2251417001029583,-1.244820494761576,1.2238854123217362,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,-0.006201058207932221,-0.010010599275911032,0.0037989377935449538,-0.010185910574842479,1.2155767075297264,9.167272073548496e-07,0.02492293923445303,0.050020027237628654,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,2,1000,100,50,10000,0.03,-1.317037771575006,-1.310719321969972,1.3729716954776632,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,-0.0024332526052228878,-0.009994508630302386,0.007566743397983947,-0.01037063043403398,1.3512753965464877,5.075766131495462e-07,0.025264380620729273,0.05004624157200727,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,3,1500,100,50,10000,0.03,-1.3085382466572235,-1.3509686811060346,1.4389932287889375,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.0012796329670297403,-0.009981091113387734,0.011279628971948391,-0.010553192100663059,1.3787536765722817,7.211535456431582e-07,0.025292423647015505,0.05007508036716756,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,4,2000,100,50,10000,0.02,-1.373409876855329,-1.3781302508415605,1.4831482472046753,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.004937402994280568,-0.00996836735166944,0.014937399000885516,-0.010733065544935945,1.3879877854161404,1.0002172948293607e-06,0.025299618267732176,0.05010628981743892,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,5,2500,100,50,10000,0.02,-1.379679862464027,-1.3980623647011754,1.5184044574203752,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.008540768294701725,-0.009955945152695638,0.018540764302966504,-0.010910275037009597,1.3920925406225637,1.2924934291991873e-06,0.025302828853885358,0.05013970503474596,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,6,3000,100,50,10000,0.02,-1.399693633260467,-1.413756248105444,1.5492240842657252,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.012090507727944816,-0.00994374304099917,0.022090503737842968,-0.011084858488801289,1.3935204015377338,1.5904283508976156e-06,0.025304748858082846,0.05017517761912566,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,7,3500,100,50,10000,0.02,-1.4158999614958399,-1.426853632585007,1.5775410741423068,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.015587406733784932,-0.009931719779366079,0.02558740274529028,-0.011256854266311341,1.3933139696213335,1.8921701598738489e-06,0.025306096598743145,0.050212567512050596,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,8,4000,100,50,10000,0.02,-1.4533426192839474,-1.4381590340739487,1.6041154850977262,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.01903224652241181,-0.009919867565901581,0.02903224253549857,-0.011426299392327685,1.3922102335558755,2.196689119311706e-06,0.02530715960195495,0.05025174138332255,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,9,4500,100,50,10000,0.02,-1.456295369034234,-1.4480751078437115,1.6292115216344794,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.022425799842062544,-0.009908199868453687,0.03242579585670536,-0.011593230116532776,1.3906712496233722,2.50334212836918e-06,0.02530810052042687,0.05029257241076719,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,10,5000,100,50,10000,0.02,-1.4612341235994055,-1.4568682822514667,1.6529588675358484,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.025768829343473562,-0.009896717911899307,0.03576882535964754,-0.011757682230180082,1.3889396368343967,2.8119347824290653e-06,0.02530899497816738,0.05033494049659075,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,11,5500,100,50,10000,0.02,-1.466339267338368,-1.4647451136757894,1.6754454593227037,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.029062086872190727,-0.009885682182758863,0.03906208288987143,-0.011919691285999918,1.387115001200498,3.1648551480293886e-06,0.025311179027019987,0.05037873257105475,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,12,6000,100,50,10000,0.02,-1.4691737979561401,-1.4718639621822707,1.6967263390274983,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.03230631365347635,-0.009873745648546681,0.042306309672639805,-0.012079292163143712,1.3852929402344876,3.3825406525830736e-06,0.025307534891862563,0.050423842782915874,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,13,6500,100,50,10000,0.02,-1.4680915496583615,-1.4783435737618493,1.7168433137262729,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.035502243533916705,-0.009857849237395203,0.04550223955453938,-0.012236517181033574,1.3808717428703052,5.7311386698025794e-06,0.02530596896410197,0.05047017253289118,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,14,7000,100,50,10000,0.02,-1.4710851321063094,-1.484273307050368,1.735830158015487,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.03865058614672457,-0.009854042165724863,0.048650582168783374,-0.012391409060661124,1.3806671653949525,3.886279439249666e-06,0.025315961077153695,0.05051762980127727,ok,,522
