ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_inner_steps,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,1,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,2,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,5,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,20,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,40,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,warm,1e-08,,80,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,1,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,2,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,5,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,20,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,40,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_inner_steps,reg_fixed,zero,1e-08,,80,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,1e-09,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,3e-09,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,3e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,1e-07,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,3e-07,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,1e-06,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,3e-06,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,1e-05,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,3e-05,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,warm,0.0001,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,1e-09,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,3e-09,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,3e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,1e-07,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,3e-07,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,1e-06,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,3e-06,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,1e-05,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,3e-05,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_lambda,reg_fixed,zero,0.0001,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
