alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0001,3e-07,0.005,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,896.5424682039884,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.52313274908505,-338.9375200171203,-2.3727640964287815,-342.5264368103687,886.486725193378,0.9434937696244833,46.15034470677809,0.42845214314567964,10
0.0001,3e-07,0.05,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,896.5454779169522,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.25825436472246,-335.67492210140256,-2.1042035547984783,-342.2594254701131,1037.3013494881518,0.09141179857254171,24.971459390936513,0.41642875943907365,26
0.0002,3e-07,0.1,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,896.5504331460106,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-96.93098557864309,-117.58314580171306,5.0206318729087345,-97.5460460322441,260.01941717292624,0.9563388495817646,36.699574579069285,0.5801048797225782,131
0.0001,1e-06,0.1,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,896.9022871250054,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-102.96175747216685,-100.341762659033,-0.8052537687682425,-102.96103719542587,379.76693011145727,0.06203703018769151,10.394338162104964,0.4155737144592079,82
0.0001,1e-06,0.02,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,896.9319197530276,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-340.9471842165053,-336.7942614135321,-0.791241429993568,-340.9488960337753,942.1954585184825,0.06199258104993196,13.78959980252549,0.4165699447638322,66
0.0002,3e-07,0.05,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,896.9770881480072,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.6480185116158,-334.7026842154894,-2.492763143266044,-342.64683896318246,891.163365261821,0.07234896315133231,23.72596756231591,0.4163284855716206,130
0.0001,1e-06,0.1,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,897.0395811249618,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-136.53284791941923,31.67853539234987,-40.56432597480457,-136.87757443881202,320.436634776574,49.552396585663445,197.67875886716035,1.9325655495609628,83
0.0001,3e-07,0.02,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,897.4578612020123,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,35.7468486486108,396.9966783186044,-36.551150285513465,35.24534968591257,220.73889314905767,4.479898727098113,138.57198909738864,0.202031359908272,11
0.0001,1e-06,0.05,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,897.6111838180223,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-101.49413431511478,-116.36720789010077,0.6431025104264333,-101.52287950171296,333.8594894693158,0.47226678766626196,7.749209016107573,0.42757266309554387,74
0.0001,3e-07,0.02,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,898.0253319179756,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,138.2002080345939,-1945.2081465900164,214.37163150371055,135.46641240163422,390.3607626880762,0.0692760104768908,227.5294202008545,1.083433738378653,18
0.0001,1e-06,0.05,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,898.1025402470259,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-95.01623352664548,-147.7266441406911,7.109790507592527,-95.27112008947694,369.39878958948253,0.3954693261771958,32.9000379014659,1.2682237466851003,75
0.0001,1e-06,0.005,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,898.1778070990113,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-4.94792137707303,1168.5903629866361,-118.3702633037163,-5.983893495712437,438.7255340071679,1.2189710147056696,247.78350092816356,2.3049458763140827,59
0.0001,3e-07,0.5,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,898.3418508259929,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.31325486497316,-99.29395901557773,-1.1587804350094055,-103.31720280670541,328.0530099892885,0.24831153762071614,12.534117429490943,0.4170173361906465,43
0.0001,3e-07,0.1,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,898.4400007390068,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-104.25363018818126,-103.427323238496,-2.184639037753005,-104.26246704380951,330.3010754806568,5.234019561077226,604.9099975593704,1.8899772757343216,34
0.0001,1e-06,0.02,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,898.5657528570155,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-4.034280043743664,1162.1983320769782,-117.71790362823694,-5.061042185907354,492.34494531070715,0.04050746408548166,248.04308643813965,0.04243889717891017,67
0.0001,1e-06,0.005,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,899.1932469470194,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,21.226744159435388,123.14171099799248,-10.055759663289894,20.899770294320504,322.6923307846164,0.07335376156642523,56.331656338715526,0.27548825104107777,51
0.0001,3e-07,0.05,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,900.8227827580413,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-130.77570819306183,-131.34523735315668,-1.6657705033414085,-130.7780452996402,468.3653132011336,0.016940046663985388,20.77789556447703,0.41840935116366845,27
0.0001,3e-07,0.02,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,901.2382896709605,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,155.96184013502022,-2198.936139732644,242.94994247939056,153.25040420198957,486.6661955488318,1.3589506481606497,258.19121422352987,2.1728442232303458,19
0.0001,3e-07,0.02,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,909.352586691035,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.07099885941567,-96.96509156253487,-0.9153787258696899,-103.07321207941573,336.4116913996125,0.139686316400003,12.823024186129418,0.41608713246764006,12
0.0001,1e-06,0.5,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,910.7754839310073,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-337.11833015342165,-335.45290226537156,-0.4152477013093938,-337.1181566400406,865.6047396798182,0.010168755546287026,116.19018239863694,1.1286213984250755,100
0.0001,1e-06,0.005,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,911.0467005789978,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-5.38577162736685,1165.539180216477,-118.65834375599763,-6.421067448154645,326.50356556417853,0.051783279867665545,248.64042177643526,0.5454700816201964,60
0.0002,3e-07,0.005,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,911.6538894110126,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-340.1451330846075,-328.8654855306442,-2.558127282824129,-340.14278872810206,953.8464387513046,0.47620468798188964,90.86586492135872,0.46191498233308775,108
0.0002,3e-07,0.1,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,912.0732965229545,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-101.29363937202636,-99.8431316939949,0.8604328968943532,-101.42515170072194,457.00667501261483,0.12936195442392603,31.865969548334327,0.6375157758283082,132
0.0001,1e-06,0.5,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,913.1037461009691,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-75.35422951515525,-336.56133461989805,26.80232288728136,-75.6096724173151,355.2508121878623,5.797656270349643e-10,185.24087033925016,0.30516313176401055,92
0.0001,3e-07,0.5,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,913.1429205600289,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.43397551700612,-100.49606168356068,-1.2793132517806867,-103.43618001949274,334.02403525597293,0.1325815195372037,12.739977083428709,0.4174660513015215,44
0.0001,1e-06,0.1,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,913.2343751519802,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-97.94288864624822,-132.51276474065475,4.206061672029118,-98.05246617604382,352.36108946324106,1.6861755656193296,32.79156485779671,0.39707541785290634,84
