alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-08,0.005,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,935.899963562988,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86476237584667,-47.27644526267224,-7.7084380555125565,-109.80506712083616,303.7675236292177,7.574498201877115e-05,111.12802963543353,0.4431840904520573,12
3e-05,3e-08,0.5,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,936.0616931340192,200.0,0.0,-200.0,200.0,0.0,-200.0,-350.704402502858,-336.05755106268964,-10.563547498116264,-350.70641992309163,927.6732691292892,17.668046475750007,205.92519502288445,0.718659733434374,186
3e-05,1e-08,0.1,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.080333291,200.0,0.0,-200.0,200.0,0.0,-200.0,-357.9848778987629,-325.0596222725384,-17.859102079581476,-357.9823403510104,953.9785936518989,11.527995184035733,363.6906935335895,1.274465310074118,65
3e-05,3e-08,0.02,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.1585636430245,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.75810444792479,-16.028220690000786,-2.6018418548794617,-36.69913004614642,204.01756002051553,2.5715615288323374e-05,37.10451408925943,0.44300954351859223,121
3e-05,3e-08,0.1,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.4575930740102,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.757846804941046,-16.02940376083985,-2.6015842120064705,-36.69887624866497,204.01045829743128,2.5722490892082854e-05,37.1030122049507,0.4430064784320342,145
3e-05,3e-08,0.5,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,936.4704383810167,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.75655864575325,-16.035296835108774,-2.6002960533332717,-36.69760724439578,203.42921872769497,2.5755435243674174e-05,37.095318687985795,0.44299115205973977,170
3e-05,3e-08,0.005,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,936.498701694014,200.0,0.0,-200.0,200.0,0.0,-200.0,-346.9899674739913,-309.97609245654843,-6.835887781062866,-346.99045831713744,931.7913787130515,0.5134474664570182,142.40644474471355,0.4569257440756929,114
3e-05,1e-08,0.02,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.6241900129826,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658525401847,-13.590794438359413,-2.8903226381818636,-36.979668281757625,199.16768222964825,2.9944819374781942e-05,38.9842873254606,0.4463960420577684,25
3e-05,1e-07,0.005,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.6828575829859,200.0,0.0,-200.0,200.0,0.0,-200.0,-30.784449772725964,-32.07541457568443,3.3718149088844878,-30.792494199255124,212.19231535001222,0.2691738149431703,164.67711204740274,0.47335955310701033,193
3e-05,1e-07,0.005,20000,0.0001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,936.8370089659584,200.0,0.0,-200.0,200.0,0.0,-200.0,-30.77028244465295,-32.033521793076204,3.385982200590126,-30.778276800166594,210.7884665860125,0.272041581129197,165.5121670826928,0.43270341454611244,195
3e-05,3e-08,0.02,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,936.894752808963,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.56705074084057,-76.23840619735583,2.5892738834455864,-99.5471313681489,392.7309743892752,2.2236806122120694,708.4101718612376,0.44299756889627423,130
