run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,device,torch_threads,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction
21,Primal AlgaeDICE,4000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,801.2916400336106,0.8235899344075747,1.626854586657962,-0.9948462247926807,0.0,-1.0000000000000004,0.641424434796049,0.8253569506552223,1.6342313624840386,-1.0088449001487538,0.0,-1.001393448084697,0.6444173469908415,20.746410258987453,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:4,1,-0.14372024956931387,0.14372024956931387,-0.1371967052342553,-0.14370831553570518,1976.6047103227074,32.30713070751653,0.04331551628694558,0.02998834786475304,0.030591901943035824,0.03000073934475055,0.030589918149317406,0.04425
22,Primal AlgaeDICE,8000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,20.53397078184585,0.6137392332654895,1.26784964649995,-0.9948462247926807,0.0,-1.0000000000000004,0.5156304211429046,0.6149570437139346,1.2672272702803808,-1.0088449001487538,0.0,-1.0013994668052943,0.5167892361238683,21.432828403019812,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:5,1,-0.1439736688770159,0.1439736688770159,-0.1373951526980375,-0.14396267969020335,1985.07334758681,34.475445166945164,0.042963206880215675,0.02998829362802669,0.03072970833676652,0.029996540308877807,0.03073087497459993,0.04825
23,Primal AlgaeDICE,12000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,14.153328932008606,0.7434591574228966,1.409771558136299,-0.9948462247926807,0.0,-1.0000000000000004,0.5593980167955095,0.7448304723723738,1.409162679816448,-1.0088449001487538,0.0,-1.0014042674889685,0.5601511440366667,21.683578239986673,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:6,1,-0.1442237206439661,0.1442237206439661,-0.13764432387638031,-0.1442118641158381,1985.0753496214397,34.0178995988951,0.04306810550485181,0.029988253643975327,0.030972784600573046,0.02999968283851759,0.030971652015917894,0.04766666666666666
24,Primal AlgaeDICE,16000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.720105525743826,1.9768846625502142e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.061068573636636085,0.019558050699172925,-0.9253797737298846,0.95,-0.9082520960329817,0.026224461857175203,20.327326694969088,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:7,1,-0.13593374624129206,0.13593374624129206,-0.12932320804193528,-0.13592147468217264,1989.7135432374216,61.235566516040166,0.04272724694251757,0.028732759740433468,0.033025332954130696,0.028745180709793084,0.03302427060317498,0.0499375
27,Primal AlgaeDICE,8000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7232813882204403,0.14717070883138042,0.09567690027069041,-0.9948462247926807,0.0,-1.0000000000000002,0.127449050160603,0.17627855385233343,0.07812455295846268,-0.9887967844989687,0.28,-0.9922985724801435,0.11173064858695061,20.46154050901532,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:2,1,-0.14653564567821825,0.14653564567821825,-0.14623212402635116,-0.14645890770298642,368.8769523583064,47.77259784681114,0.00446186715514648,0.02980064274582342,0.04384839597918182,0.030126847393431144,0.043677635720315765,0.121625
26,Primal AlgaeDICE,4000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.73025019797144,0.14735728869037487,0.09567690027069041,-0.9948462247926807,0.0,-1.0000000000000002,0.127449050160603,0.1887486409471334,0.07442868147237658,-0.9836782477768254,0.31,-0.9924108942148231,0.10704895575672507,20.90016962698428,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:1,1,-0.14783386004321927,0.14783386004321927,-0.1473259688192549,-0.14772287717286892,488.0010370567107,48.478827766103755,0.006952371928510545,0.029730984721516734,0.04453498049138999,0.0301145990913037,0.04435139421235812,0.12125
28,Primal AlgaeDICE,12000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7799914848833318,0.051617059469625255,0.012294014658292121,-0.82274123760695,1.0,-0.82274123760695,0.003367916485467889,0.14736320850916215,0.06206449753944515,-0.9768045859429293,0.38,-0.9768598997562377,0.09018363265398088,19.883323728921823,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:3,1,-0.1378838478955645,0.1378838478955645,-0.13767901444471756,-0.13786762388330598,336.40104511290104,49.64207751847176,0.0021807578847171734,0.02962527277560422,0.03887478413851502,0.02969042371264295,0.03883758152790276,0.11708333333333333
29,Primal AlgaeDICE,16000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.750753471705161,0.044590296190326666,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.11659706692809138,0.003423725404624557,-0.8429454874794081,1.0,-0.845184754525083,0.0037610885627411997,18.83059659000719,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:4,1,-0.10515729571984918,0.10515729571984918,-0.10515471360474883,-0.10515713774051537,38.137664583962696,59.494235269396995,0.00016999678620927894,0.02789033784183291,0.021453441152766362,0.027891023609363897,0.021452770369293474,0.1180625
25,Primal AlgaeDICE,20000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.783005548024825,0.7175910862531057,1.409771558136299,-0.9948462247926807,0.0,-1.0000000000000004,0.5593980167955095,0.7201011172436708,1.4088804495274068,-1.0088449001487538,0.0,-1.0011646392785023,0.5598996608908184,23.15050919901114,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:0,1,-0.13616915541974878,0.13616915541974878,-0.131811396072448,-0.13616058682851495,1615.3991623249608,34.12897858907149,0.029070803556778917,0.02998982281815811,0.027270910585432358,0.0300022641690452,0.027265182957070894,0.049600000000000005
30,Primal AlgaeDICE,20000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7377031755237975,0.04346641823297657,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.1271249400729502,0.003191087606180001,-0.8411351055222761,1.0,-0.8438338973057536,0.0033104281437778414,20.025818610971328,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:5,1,-0.10504339813166455,0.10504339813166455,-0.1050413847636808,-0.1050432824392591,33.74322668304847,61.237810057198935,0.0001683570917747086,0.0278719083768803,0.021508626526455462,0.02787272700714367,0.021507726989660893,0.11705
31,Primal AlgaeDICE,4000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.9229657827324562,2.288779534407984,2.072630839468517,-0.9948462247926807,0.0,-1.0000000000000002,0.9182937055378682,2.23136581578573,2.0147714768935576,-0.9948462247926807,0.0,-1.00780753457654,0.9026119990446668,21.803582043969072,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:6,1,-0.1669273600294488,0.1669273600294488,-0.16559434294431633,-0.1668538103071726,869.2988080710626,27.22664106966358,0.009713379783827112,0.02994568572607578,0.054055536165576415,0.030058865788242323,0.054033224434640245,0.109
