run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds
52,FQI,8000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.08196434353254,1.7202571778620008,1.0238805690367738,-3.125764,0.0,-3.1257640000000007,0.9120468092529854,1.7202571778620008,1.0238805690367738,-3.125764,0.0,-3.1257640000000007,0.9120468092529854,8.026171250967309
53,FQI,12000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.1556165997597985,1.5832738675694191,1.4273616198486698,-0.9948462247926807,0.0,-1.0000000000000002,1.4310580419921857,1.5832738675694191,1.4273616198486698,-0.9948462247926807,0.0,-1.0000000000000002,1.4310580419921857,15.434667406836525
54,FQI,16000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.1709825155098486,1.5738669912636123,1.4273616198486698,-0.9948462247926807,0.0,-1.0000000000000002,1.4310580419921857,1.5738669912636123,1.4273616198486698,-0.9948462247926807,0.0,-1.0000000000000002,1.4310580419921857,16.94814135110937
55,FQI,20000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.1416227925344535,1.6297544240656694,1.4451554853610955,-0.9948462247926807,0.0,-1.0000000000000002,1.5440298565845856,1.6297544240656694,1.4451554853610955,-0.9948462247926807,0.0,-1.0000000000000002,1.5440298565845856,18.210623995866627
56,FQI,4000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.0867516189506286,1.15565370781932,1.131553275331024,-0.9948462247926807,0.0,-1.0000000000000002,0.5584750432619471,1.15565370781932,1.131553275331024,-0.9948462247926807,0.0,-1.0000000000000002,0.5584750432619471,12.698471810901538
57,FQI,8000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.187987576448279,0.9960599035022718,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,0.9960599035022718,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,14.059641974978149
58,FQI,12000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.239529738363947,1.382634604396154,1.3760274396507899,-0.9948462247926807,0.0,-1.0000000000000002,1.0989429029236908,1.382634604396154,1.3760274396507899,-0.9948462247926807,0.0,-1.0000000000000002,1.0989429029236908,15.301110981963575
59,FQI,16000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.2551388323147243,1.3785027388741657,1.3760274396507899,-0.9948462247926807,0.0,-1.0000000000000002,1.0989429029236908,1.3785027388741657,1.3760274396507899,-0.9948462247926807,0.0,-1.0000000000000002,1.0989429029236908,16.70985750714317
60,FQI,20000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.218112647359839,1.4370867982359816,1.389670979059349,-0.9948462247926807,0.0,-1.0000000000000002,1.1730637104777646,1.4370867982359816,1.389670979059349,-0.9948462247926807,0.0,-1.0000000000000002,1.1730637104777646,18.303487294120714
61,FQI,4000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.3441301102538157,0.2631639642191764,0.19693910870565823,-0.9948462247926807,0.0,-1.0000000000000002,0.23043639111096517,0.2631639642191764,0.19693910870565823,-0.9948462247926807,0.0,-1.0000000000000002,0.23043639111096517,12.744585563894361
62,FQI,8000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.4205660644943667,0.15657356152448476,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,0.15657356152448476,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,14.115730909164995
63,FQI,12000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.5142102307978407,0.14358442198820093,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.14358442198820093,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,15.256385097047314
64,FQI,16000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.540908952487487,0.144730733690116,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.144730733690116,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,16.663656068965793
65,FQI,20000,0.3,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,2.5563434438034593,0.14463265870719033,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.14463265870719033,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,18.10563811683096
66,FQI,4000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,3.6332384355173475,0.15111639062071452,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.15111639062071452,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,12.78446038090624
67,FQI,8000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,3.5570613579563224,0.14850538889764445,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.14850538889764445,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,14.02177485008724
68,FQI,12000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,3.558578820765545,0.15615037070813803,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.15615037070813803,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,15.285724091809243
69,FQI,16000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,3.62061656791918,0.13587101918360223,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,0.13587101918360223,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,16.729060095036402
70,FQI,20000,0.5,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,3.5331762881162954,0.13591798190702142,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,0.13591798190702142,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,18.028467507800087
71,FQI,4000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,6.81746451494375,0.3223552715337377,0.2744865702354112,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,0.3223552715337377,0.2744865702354112,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,12.842699607135728
72,FQI,8000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,8.19385475199511,0.17054774581617527,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,0.17054774581617527,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,14.12033274397254
73,FQI,12000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,9.74074600030741,0.15602116820489523,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.15602116820489523,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,15.38794283894822
74,FQI,16000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,10.722900074998728,0.15641809607356102,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,0.15641809607356102,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,16.89236786402762
75,FQI,20000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,ok,,12.733990387045505,0.15539303114870234,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,0.15539303114870234,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,18.275756367016584
76,FQI,4000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,ok,,2.8832856791979173,0.28793092084319216,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.28793092084319216,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,12.860731427092105
77,FQI,8000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,ok,,2.757219647794488,0.29073232337532345,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.29073232337532345,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,14.202379919122905
78,FQI,12000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,ok,,2.792265681470948,0.2892775695661391,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.2892775695661391,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,15.379902670858428
79,FQI,16000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,ok,,2.8275504904194237,0.2876658853201378,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.2876658853201378,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,16.809232708998024
80,FQI,20000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,ok,,2.795324242426177,0.2884584921608882,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.2884584921608882,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,18.132690730970353
