problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,5,5,0,377.349234371644,0.37,0.37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.18979999999999997,0.18979999999999997,2.7755575615628914e-17,1.2412670766236365e-17,2.4328834701823273e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,348.09419404201907,0.36,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.17839999999999998,0.17839999999999998,4.163336342344337e-17,1.8619006149354548e-17,3.649325205273491e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,5,5,0,301.8090710305958,0.21,0.21000000000000002,3.1031676915590914e-17,1.3877787807814457e-17,2.7200464103316335e-17,1.0,1.0,0.0,0.0,0.0,0.019999999999999973,0.01999999999999996,3.2592495070968174e-17,1.4575806907002335e-17,2.8568581537724576e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,5,5,0,378.70451824098126,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,5,5,0,387.58072680121984,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,5,5,0,381.0515889167902,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,5,5,0,377.39969004816373,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,5,5,0,383.216085427627,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,1.0,1.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,5,5,0,357.8221443505725,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.096,-0.096,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,336.3880977517809,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.096,-0.096,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
