problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,reg_fixed_lambda,reg_fixed,zero,0.0001,,0.001,10,0.03,3000,5,5,5,0,188.63996853303397,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0963,-0.0963,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-06,,0.001,10,0.03,3000,5,5,5,0,190.17865010278766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-06,,0.001,10,0.03,3000,5,5,5,0,201.99831707181875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,10.0,0.001,10,1.0,3000,5,5,5,0,156.0617681591888,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.15715,-0.15715000000000007,2.7755575615628914e-17,1.2412670766236365e-17,2.4328834701823273e-17,0.018750000000000062,0.018750000000000048,2.797157557069881e-17,1.2509268882771001e-17,2.451816701023116e-17
stochastic,projection_dtheta,projection,warm,,100.0,0.001,10,1.0,3000,5,5,5,0,149.08447647819995,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.1972000000000001,-0.19720000000000013,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,0.018750000000000062,0.018750000000000048,2.797157557069881e-17,1.2509268882771001e-17,2.451816701023116e-17
stochastic,projection_dtheta,projection,warm,,300.0,0.001,10,1.0,3000,5,5,5,0,149.8254962048144,0.9,0.9,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.1977500000000001,-0.1977500000000001,2.7755575615628914e-17,1.2412670766236365e-17,2.4328834701823273e-17,0.018750000000000062,0.018750000000000048,2.797157557069881e-17,1.2509268882771001e-17,2.451816701023116e-17
stochastic,projection_dtheta,projection,warm,,30.0,0.001,10,1.0,3000,5,5,5,0,130.21196475558682,0.87,0.8699999999999999,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.93,0.93,0.0,0.0,0.0,-0.2339000000000002,-0.23390000000000022,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,0.018750000000000062,0.018750000000000048,2.797157557069881e-17,1.2509268882771001e-17,2.451816701023116e-17
stochastic,projection_dtheta,projection,warm,,0.3,0.001,10,1.0,3000,5,5,5,0,151.16654227923135,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.1619500000000005,-2.1619500000000005,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,3.0,0.001,10,1.0,3000,5,5,5,0,164.0512816739967,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.06625,-2.06625,0.0,0.0,0.0,-2.054050000000001,-2.054050000000001,0.0,0.0,0.0
stochastic,projection_dtheta,projection,warm,,1.0,0.001,10,1.0,3000,5,5,5,0,159.06481288803042,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.181800000000001,-2.181800000000001,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
